PTU,oids,Latitude,Longitude
PTU-00004,3300048816,68.35,19.05
PTU-00004,3300021168,42.48,-72.18
PTU-00004,3300050027,68.35,19.05
PTU-00004,3300037421,42.53,-72.19
PTU-00004,3300048810,68.35,19.05
PTU-00004,3300046712,68.36,19.04
PTU-00004,3300043649,38.99,-107.06
PTU-00004,3300051672,48.91,13.56
PTU-00004,3300029636,42.48,-72.18
PTU-00004,3300060357,38.91,-120.66
PTU-00004,3300050019,68.35,19.05
PTU-00004,3300028906,38.0,-97.0
PTU-00004,3300055138,68.35,19.05
PTU-00004,3300050116,68.35,19.05
PTU-00004,3300050117,68.35,19.05
PTU-00004,3300048794,68.35,19.04
PTU-00004,3300037852,42.53,-72.19
PTU-00004,3300044979,42.3,-72.12
PTU-00004,3300061537,33.4,-97.57
PTU-00004,3300036797,-34.5,150.0
PTU-00004,3300060649,65.17,-147.48
PTU-00004,3300043783,42.3,-72.12
PTU-00004,3300021432,42.48,-72.18
PTU-00004,3300055279,68.35,19.05
PTU-00004,3300020982,42.48,-72.18
PTU-00004,3300048813,68.35,19.05
PTU-00004,3300061179,45.84,-122.0
PTU-00004,3300021401,42.48,-72.18
PTU-00004,3300060668,68.67,-149.38
PTU-00004,3300051096,43.3,-89.33
PTU-00004,3300048785,68.35,19.05
PTU-00004,3300048795,68.35,19.04
PTU-00004,3300056834,68.35,19.05
PTU-00004,3300025922,42.39,-85.37
PTU-00004,3300005471,42.39,-85.37
PTU-00004,3300043538,38.95,-107.07
PTU-00004,3300050349,68.36,19.04
PTU-00004,3300061644,45.83,-122.02
PTU-00004,3300048812,68.35,19.05
PTU-00004,3300048827,68.35,19.05
PTU-00004,3300021407,42.48,-72.18
PTU-00004,3300049794,35.88,-106.53
PTU-00004,3300020579,42.48,-72.18
PTU-00004,3300043628,38.98,-107.04
PTU-00004,3300031823,39.08,-86.47
PTU-00004,3300031718,39.08,-86.47
PTU-00004,3300050128,68.35,19.05
PTU-00004,3300048796,68.35,19.04
PTU-00004,3300050045,68.35,19.05
PTU-00004,3300020583,42.48,-72.18
PTU-00004,3300050345,68.35,19.05
PTU-00004,3300048792,68.36,19.04
PTU-00005,3300048814,68.35,19.05
PTU-00005,3300047640,68.36,19.05
PTU-00005,3300048826,68.35,19.05
PTU-00005,3300049729,68.36,19.04
PTU-00005,3300035490,47.51,-93.45
PTU-00005,3300050140,68.35,19.05
PTU-00005,3300047661,68.35,19.05
PTU-00005,3300050035,68.36,19.04
PTU-00005,3300048791,68.35,19.05
PTU-00005,3300048821,68.35,19.05
PTU-00005,3300050393,68.36,19.05
PTU-00005,3300056587,68.35,19.05
PTU-00005,3300041809,38.98,-106.97
PTU-00005,3300050010,68.35,19.05
PTU-00005,3300048777,68.35,19.05
PTU-00005,3300047657,68.36,19.05
PTU-00005,3300056791,68.35,19.05
PTU-00005,3300050119,68.35,19.05
PTU-00005,3300050391,68.36,19.05
PTU-00005,3300047649,68.36,19.05
PTU-00005,3300055372,68.36,19.05
PTU-00005,3300048771,68.35,19.05
PTU-00005,3300052304,47.51,-93.45
PTU-00005,3300044982,42.3,-72.12
PTU-00005,3300050116,68.35,19.05
PTU-00005,3300048825,68.35,19.05
PTU-00005,3300046673,68.35,19.05
PTU-00005,3300048774,68.35,19.05
PTU-00005,3300047650,68.36,19.05
PTU-00005,3300049721,68.35,19.05
PTU-00005,3300047645,68.35,19.05
PTU-00005,3300050031,68.35,19.05
PTU-00005,3300036772,-33.6,150.0
PTU-00005,3300048041,68.36,19.05
PTU-00005,3300048776,68.35,19.05
PTU-00005,3300054973,68.36,19.04
PTU-00005,3300050026,68.35,19.05
PTU-00005,3300048042,68.36,19.05
PTU-00005,3300046697,68.35,19.05
PTU-00005,3300056870,68.35,19.05
PTU-00005,3300048044,68.36,19.05
PTU-00005,3300050028,68.35,19.05
PTU-00005,3300060645,65.18,-147.54
PTU-00005,3300049718,68.35,19.05
PTU-00005,3300048780,68.35,19.05
PTU-00005,3300052789,68.36,19.05
PTU-00005,3300048775,68.35,19.05
PTU-00006,3300048043,68.36,19.05
PTU-00006,3300046480,68.35,19.04
PTU-00006,3300048826,68.35,19.05
PTU-00006,3300049729,68.36,19.04
PTU-00006,3300046686,68.35,19.04
PTU-00006,3300048779,68.35,19.05
PTU-00006,3300050034,68.36,19.04
PTU-00006,3300047642,68.36,19.05
PTU-00006,3300050035,68.36,19.04
PTU-00006,3300048762,68.35,19.05
PTU-00006,3300046479,68.36,19.04
PTU-00006,3300048791,68.35,19.05
PTU-00006,3300056815,68.35,19.05
PTU-00006,3300056587,68.35,19.05
PTU-00006,3300041809,38.98,-106.97
PTU-00006,3300048778,68.35,19.05
PTU-00006,3300048769,68.35,19.05
PTU-00006,3300050010,68.35,19.05
PTU-00006,3300047657,68.36,19.05
PTU-00006,3300046698,68.35,19.05
PTU-00006,3300048777,68.35,19.05
PTU-00006,3300056791,68.35,19.05
PTU-00006,3300050027,68.35,19.05
PTU-00006,3300046643,68.35,19.04
PTU-00006,3300049719,68.35,19.05
PTU-00006,3300047649,68.36,19.05
PTU-00006,3300021077,68.35,19.05
PTU-00006,3300050192,68.35,19.05
PTU-00006,3300052304,47.51,-93.45
PTU-00006,3300051166,68.36,19.05
PTU-00006,3300050139,68.35,19.05
PTU-00006,3300047650,68.36,19.05
PTU-00006,3300048820,68.35,19.05
PTU-00006,3300050013,68.35,19.05
PTU-00006,3300049727,68.36,19.04
PTU-00006,3300048776,68.35,19.05
PTU-00006,3300054973,68.36,19.04
PTU-00006,3300052275,68.36,19.05
PTU-00006,3300050026,68.35,19.05
PTU-00006,3300050032,68.35,19.05
PTU-00006,3300046697,68.35,19.05
PTU-00006,3300056870,68.35,19.05
PTU-00006,3300048823,68.35,19.05
PTU-00006,3300050131,68.35,19.05
PTU-00006,3300050028,68.35,19.05
PTU-00006,3300049728,68.36,19.04
PTU-00006,3300060645,65.18,-147.54
PTU-00006,3300049718,68.35,19.05
PTU-00006,3300048796,68.35,19.04
PTU-00006,3300048775,68.35,19.05
PTU-00006,3300050020,68.35,19.05
PTU-00007,3300046817,46.12,-123.27
PTU-00007,3300037840,42.53,-72.19
PTU-00007,3300036830,37.0,-122.2
PTU-00007,3300043474,38.95,-107.07
PTU-00007,3300060695,68.62,-149.28
PTU-00007,3300037490,42.53,-72.19
PTU-00007,3300036855,35.5,-121.0
PTU-00007,3300046463,46.12,-123.27
PTU-00007,3300049004,33.67,-117.46
PTU-00007,3300020123,42.49,-85.46
PTU-00007,3300048086,35.88,-106.54
PTU-00007,3300035704,35.5,-121.0
PTU-00007,3300061216,33.4,-97.57
PTU-00007,3300036401,46.11,-122.99
PTU-00007,3300021178,42.48,-72.18
PTU-00007,3300005535,42.39,-85.37
PTU-00007,3300051099,43.3,-89.33
PTU-00007,3300045020,42.3,-72.12
PTU-00007,3300060654,40.04,-105.55
PTU-00007,3300053081,46.12,-123.27
PTU-00007,3300028654,47.65,-122.3
PTU-00007,3300037421,42.53,-72.19
PTU-00007,3300046675,46.12,-123.27
PTU-00007,3300046462,46.12,-123.27
PTU-00007,3300021403,42.48,-72.18
PTU-00007,3300046559,46.12,-123.27
PTU-00007,3300044977,42.3,-72.12
PTU-00007,3300027857,40.8,-76.34
PTU-00007,3300036828,-33.6,150.0
PTU-00007,3300048911,42.41,-85.4
PTU-00007,3300052304,47.51,-93.45
PTU-00007,3300037153,26.65,-80.63
PTU-00007,3300046616,44.59,-123.19
PTU-00007,3300041967,41.92,-93.75
PTU-00007,3300037852,42.53,-72.19
PTU-00007,3300049797,35.88,-106.53
PTU-00007,3300061537,33.4,-97.57
PTU-00007,3300060649,65.17,-147.48
PTU-00007,3300048997,33.67,-117.46
PTU-00007,3300041966,39.1,-96.61
PTU-00007,3300005329,42.39,-85.37
PTU-00007,3300060669,68.66,-149.38
PTU-00007,3300036845,-33.6,150.0
PTU-00007,3300037452,42.53,-72.19
PTU-00007,3300021432,42.48,-72.18
PTU-00007,3300046724,46.12,-123.27
PTU-00007,3300047444,46.12,-123.27
PTU-00007,3300036772,-33.6,150.0
PTU-00007,3300005537,40.8,-76.34
PTU-00007,3300051238,43.3,-89.33
PTU-00007,3300049005,33.67,-117.46
PTU-00007,3300039447,-19.28,-43.59
PTU-00007,3300043787,42.3,-72.12
PTU-00007,3300046722,44.59,-123.19
PTU-00007,3300005533,40.8,-76.34
PTU-00007,3300028563,47.65,-122.3
PTU-00007,3300025915,42.48,-85.45
PTU-00007,3300060670,68.67,-149.37
PTU-00007,3300047310,46.12,-123.27
PTU-00007,3300060780,45.83,-122.02
PTU-00007,3300046837,46.12,-123.27
PTU-00007,3300049794,35.88,-106.53
PTU-00007,3300021083,68.35,19.05
PTU-00007,3300037883,42.53,-72.19
PTU-00007,3300036835,26.65,-80.63
PTU-00007,3300036829,35.5,-121.0
PTU-00007,3300025928,42.48,-85.45
PTU-00007,3300046782,46.12,-123.27
PTU-00007,3300036800,36.5,-121.8
PTU-00007,3300046679,46.12,-123.27
PTU-00008,3300042838,38.92,-106.95
PTU-00008,3300028755,38.92,-106.95
PTU-00008,3300028782,38.92,-106.95
PTU-00008,3300028710,38.92,-106.95
PTU-00008,3300028771,38.92,-106.95
PTU-00008,3300042821,38.92,-106.95
PTU-00008,3300010166,38.87,-122.43
PTU-00008,3300028754,38.92,-106.95
PTU-00008,3300028880,38.92,-106.95
PTU-00008,3300042855,38.92,-106.95
PTU-00008,3300043594,38.99,-107.01
PTU-00008,3300042850,38.92,-106.95
PTU-00008,3300041967,41.92,-93.75
PTU-00008,3300048783,38.96,-106.98
PTU-00008,3300041966,39.1,-96.61
PTU-00008,3300042826,38.92,-106.95
PTU-00008,3300042837,38.92,-106.95
PTU-00008,3300044725,38.92,-106.95
PTU-00008,3300028714,38.92,-106.95
PTU-00008,3300042845,38.92,-106.95
PTU-00008,3300028744,38.92,-106.95
PTU-00008,3300043621,38.86,-107.09
PTU-00008,3300028811,38.92,-106.95
PTU-00008,3300028721,38.92,-106.95
PTU-00008,3300042854,38.92,-106.95
PTU-00008,3300028793,38.92,-106.95
PTU-00008,3300032005,38.5,-121.7
PTU-00008,3300061625,44.95,-110.54
PTU-00008,3300028876,38.92,-106.95
PTU-00008,3300028712,38.92,-106.95
PTU-00008,3300028828,38.92,-106.95
PTU-00008,3300043578,38.92,-106.95
PTU-00008,3300028715,38.92,-106.95
PTU-00008,3300028711,38.92,-106.95
PTU-00008,3300042825,38.92,-106.95
PTU-00008,3300042822,38.92,-106.95
PTU-00008,3300028807,38.92,-106.95
PTU-00008,3300042818,38.92,-106.95
PTU-00008,3300028718,38.92,-106.95
PTU-00008,3300042877,38.92,-106.95
PTU-00008,3300028881,38.92,-106.96
PTU-00008,3300028799,38.92,-106.95
PTU-00008,3300043625,38.96,-107.03
PTU-00008,3300028814,38.92,-106.95
PTU-00008,3300043634,38.98,-107.06
PTU-00008,3300028787,38.92,-106.95
PTU-00008,3300028875,38.92,-106.95
PTU-00008,3300042843,38.92,-106.95
PTU-00008,3300028719,38.92,-106.95
