PFAM	Meta	Isolate	log_odds	p	padj
PF01812	66.0	41.0	-1.9496911348062949	8.309614245607814e-18	9.758965567516154e-18
PF14082	211.0	55.0	-1.0856359716880726	3.0148691315205863e-10	3.3350195202487247e-10
PF01590	1151.0	825.0	-2.174523830109245	0.0	0.0
PF08445	87.0	485.0	-4.182085321843145	0.0	0.0
PF14335	99.0	12.0	-0.3725636239278431	0.29931488072897666	0.30323090620733223
PF01103	49.0	76.0	-2.853017220507831	6.748070548164884e-50	1.0781133344832892e-49
PF13342	318.0	326.0	-2.474752706532789	4.0175396026165536e-176	1.7675652456208813e-175
PF07995	81.0	134.0	-2.926703755848646	6.65227714609393e-89	1.5833237510631352e-88
PF01946	2.0	373.0	-7.285144835751647	0.0	0.0
PF06412	1681.0	334.0	-0.8221738985928613	8.298836944459639e-35	1.1130599435323177e-34
PF16177	95.0	121.0	-2.6660400557488466	9.398084028859697e-73	1.9167470762986018e-72
PF08386	63.0	229.0	-3.7195458975406197	6.972848484259212e-188	3.2723084906937675e-187
PF17200	110.0	173.0	-2.8822718196887034	2.341083659256058e-112	6.7389558122079585e-112
PF13561	4460.0	2421.0	-2.106909115426978	0.0	0.0
PF00575	86.0	75.0	-2.285543673483065	2.864458349393461e-38	4.01819851789916e-38
PF01914	73.0	44.0	-1.9196079883157864	1.251150288255892e-18	1.4738448882446436e-18
PF11127	41.0	85.0	-3.1391170085045976	3.197528524920224e-61	5.709345705910592e-61
PF07831	53.0	57.0	-2.490291100769162	1.296192228004354e-32	1.6954135955259654e-32
PF00551	132.0	217.0	-2.9322255250886182	5.984163447394926e-143	2.145248717330002e-142
PF10503	88.0	163.0	-3.042952222286837	4.2757258007742925e-112	1.2247239254252382e-111
PF04773	805.0	238.0	-1.2176868218733081	9.735936814312075e-48	1.508777933265307e-47
PF13207	83.0	49.0	-1.8987287448720722	2.741034033718528e-20	3.285563498621331e-20
PF06004	170.0	30.0	-0.7065475732244257	0.0017037807937934106	0.0017812253753294745
PF18555	98.0	257.0	-3.4013810601395345	3.1473596542833936e-195	1.5424718305696883e-194
PF01978	47.0	236.0	-4.038271058240864	8.40793028490737e-206	4.33073659686027e-205
PF00664	762.0	799.0	-2.5553063924402406	0.0	0.0
PF18818	2692.0	622.0	-0.9983068431394496	3.25261514978452e-86	7.578560674974364e-86
PF11284	122.0	101.0	-2.2363614540866723	1.4035461819436018e-49	2.2331765620924566e-49
PF00656	364.0	186.0	-1.7628169300945435	3.2325757051003834e-65	6.065648919990461e-65
PF14537	38.0	69.0	-3.005411599003367	5.918576589989183e-48	9.196557470598577e-48
PF13964	164.0	31.0	-0.7742039842780553	0.0003622514306257881	0.0003812913789504784
PF02311	252.0	829.0	-3.7057637069444467	0.0	0.0
PF06580	152.0	59.0	-1.4819212149020258	2.955609468975911e-17	3.458882013315386e-17
PF00576	52.0	71.0	-2.726955545381007	1.572961256078668e-44	2.3558923261577985e-44
PF07756	235.0	274.0	-2.597159582154779	3.284695211166965e-157	1.32012923452264e-156
PF11074	99.0	8.0	-0.004347686567076708	1.0	1.0
PF08448	1666.0	1199.0	-2.225590403147151	0.0	0.0
PF12872	127.0	50.0	-1.4969659621296403	4.7015154926480545e-15	5.412101332716269e-15
PF00925	104.0	76.0	-2.110494515972222	4.2284788613290277e-35	5.687757032349352e-35
PF08863	8.0	261.0	-5.816136231051428	4.1652247270398763e-271	2.862667763583915e-270
PF13905	142.0	235.0	-2.9412466448207693	4.0838252676460554e-155	1.6079196774138622e-154
PF12281	126.0	121.0	-2.385866583522327	6.350175297475579e-64	1.1707505727012514e-63
PF13484	25.0	101.0	-3.7914785584536195	2.9073602094736344e-85	6.747050715891362e-85
PF08867	237.0	52.0	-0.9142327914198397	8.192164088046031e-8	8.91771189153277e-8
PF06965	73.0	105.0	-2.7839736300253137	1.796503916202253e-66	3.420720161752323e-66
PF10784	59.0	50.0	-2.2553826957996392	1.214874574711351e-25	1.5067558126291876e-25
PF10723	74.0	56.0	-2.144049378708482	8.237438077585788e-27	1.0299014345657581e-26
PF04962	83.0	167.0	-3.125427496618808	6.889447524870326e-118	2.0920505359834988e-117
PF09509	289.0	45.0	-0.5735286132819786	0.0012758777467894102	0.0013362777302938682
PF10087	12.0	101.0	-4.484757504397773	2.6359153696653055e-95	6.714069521636518e-95
PF13522	302.0	273.0	-2.3427513139809735	2.3680821215155753e-138	8.247458423209418e-138
PF19127	0.0	105.0	-7.088793145783516	6.367360362549371e-115	1.8675982477528015e-114
PF03239	35.0	77.0	-3.1946942619881975	1.4264171301711368e-56	2.443633475949521e-56
PF08937	221.0	76.0	-1.3605004722696445	2.72681938553588e-19	3.2367917386815785e-19
PF02411	128.0	128.0	-2.426888696826138	6.55636340370825e-69	1.284184838685857e-68
PF01068	755.0	562.0	-2.1812590907212104	3.821244243520088e-256	2.465763993804768e-255
PF21070	87.0	89.0	-2.4449248092709546	6.688737277885597e-49	1.0548497417873891e-48
PF13406	21.0	189.0	-4.591700914245764	7.919206619115433e-179	3.530962951286977e-178
PF21338	63.0	78.0	-2.6319014322677607	7.133569565874641e-47	1.0974359007633636e-46
PF02836	78.0	108.0	-2.7468215608717927	2.509737903427705e-67	4.830257787624324e-67
PF02801	180.0	324.0	-3.03656900420801	4.3032785774100906e-220	2.3193772935785708e-219
PF01807	784.0	60.0	0.1436854219565974	0.2572856206183408	0.26122137093374376
PF01965	715.0	765.0	-2.571321927160936	0.0	0.0
PF20656	51.0	92.0	-3.0045640156410878	2.595651627543875e-63	4.7440587968406143e-63
PF02749	30.0	71.0	-3.263487511835071	2.346559724240758e-53	3.888058658638574e-53
PF14684	182.0	9.0	0.49540135131258245	0.0853895911214031	0.08738326879956801
PF13749	189.0	31.0	-0.6328501534181226	0.0029905333013685686	0.0031180470642186643
PF13401	3597.0	1703.0	-1.860899336517594	0.0	0.0
PF13830	176.0	154.0	-2.2969096243296168	3.890150686967112e-77	8.336549857771773e-77
PF20288	70.0	38.0	-1.817182675500258	3.4504029538850055e-15	3.977809459987528e-15
PF03450	200.0	303.0	-2.862044029566089	1.4291334726452044e-193	6.959909972651593e-193
PF02517	249.0	403.0	-2.940666257359537	4.537025160686775e-264	2.994178820532778e-263
PF04101	36.0	208.0	-4.169385704483335	1.3826113220526107e-185	6.410790621014399e-185
PF11604	184.0	201.0	-2.5233954953551336	3.9200074957023174e-112	1.1256090744766975e-111
PF14522	52.0	62.0	-2.5923058416079092	5.57401781120082e-37	7.693668078086455e-37
PF02626	59.0	193.0	-3.60933681579373	7.38020612115148e-155	2.9008830489737544e-154
PF07362	86.0	66.0	-2.1583838287416626	1.4211039674171545e-31	1.8422011809765902e-31
PF07676	394.0	208.0	-1.7975092335413982	1.1081451148979816e-74	2.306649732892483e-74
PF20467	166.0	41.0	-1.035304792035312	1.403527962284848e-7	1.5242615504383832e-7
PF00400	449.0	149.0	-1.3273839425644922	6.691323861700225e-35	8.984939497531574e-35
PF02566	432.0	330.0	-2.1806211718248827	4.532377767219288e-152	1.7374114774340603e-151
PF03070	100.0	119.0	-2.5984340292945096	1.5627934975343176e-69	3.076584148112051e-69
PF13439	469.0	557.0	-2.6501582453946417	1e-323	9e-323
PF00158	849.0	824.0	-2.480567821739606	0.0	0.0
PF07991	12.0	214.0	-5.244673228255828	4.789314931230572e-215	2.557604272470947e-214
PF00582	484.0	527.0	-2.5593366431104503	4.2674435856102335e-294	3.3154754011279507e-293
PF00668	201.0	331.0	-2.9487803807762623	4.796973157297457e-218	2.579483482500461e-217
PF07916	992.0	376.0	-1.4804706464373922	7.088983382113302e-100	1.8692064014357776e-99
PF13249	33.0	71.0	-3.171083617656459	6.090620520120022e-52	9.935752435560963e-52
PF06276	66.0	80.0	-2.611310513533266	1.3132061201181813e-47	2.031010530648825e-47
PF16861	90.0	118.0	-2.6943089640301148	7.73615308248726e-72	1.557286274750252e-71
PF00854	37.0	71.0	-3.0598169852349093	3.534249145753498e-50	5.650420347959653e-50
PF00657	153.0	171.0	-2.542569772021161	1.4141942882719754e-96	3.6340412960794235e-96
PF18602	73.0	31.0	-1.57707572288222	1.4992507793881646e-10	1.6624150646867334e-10
PF02133	146.0	147.0	-2.4358598131615996	3.3928105769459943e-79	7.42137379495814e-79
PF13203	165.0	116.0	-2.07516828935415	1.606395333061649e-51	2.6077263163537458e-51
PF12697	2945.0	1859.0	-2.1806762758346463	0.0	0.0
PF20659	51.0	92.0	-3.0045640156410878	2.595651627543875e-63	4.7440587968406143e-63
PF04075	95.0	25.0	-1.1081761535995853	0.000013087152353941475	0.0000139776804221637
PF18947	47.0	60.0	-2.658939763366872	7.235365039073538e-37	9.957199636118382e-37
PF13523	40.0	113.0	-3.448575337359601	4.632805592980389e-88	1.093699938261529e-87
PF16762	85.0	26.0	-1.2561489880436225	8.835780855770246e-7	9.537880542729686e-7
PF00483	391.0	390.0	-2.4549034704622947	5.188305201253547e-208	2.702339233747083e-207
PF12728	6720.0	948.0	-0.5021574628740081	2.432023813697434e-38	3.4157142196004475e-38
PF13737	64.0	171.0	-3.4060956241510616	8.878128523003203e-131	2.958951586647983e-130
PF00291	542.0	581.0	-2.5502772628496073	2.5e-322	2.243e-321
PF01637	97.0	16.0	-0.6615438755866323	0.03686756557236168	0.03786178374208496
PF00330	149.0	200.0	-2.7284081048992928	4.823816370459114e-122	1.5142872200779083e-121
PF04392	191.0	67.0	-1.3805940608474998	1.5053739193519517e-17	1.764371147656198e-17
PF20473	287.0	142.0	-1.7267906217219675	7.683100959247372e-49	1.2108442013793518e-48
PF13521	89.0	85.0	-2.3764693978242164	3.1297022586974906e-45	4.736350714628189e-45
PF02899	1725.0	895.0	-1.8547991928989842	1.94e-321	1.715e-320
PF00912	176.0	191.0	-2.515650328440077	2.797332476832189e-106	7.626999229672741e-106
PF11726	105.0	1.0	1.5589231724826096	0.0021641925393049667	0.002260530246765035
PF03372	461.0	345.0	-2.161728817089932	4.8347140490569584e-157	1.9397306970568766e-156
PF03717	46.0	68.0	-2.8042298368469853	5.048921848202698e-44	7.523185024615052e-44
PF01565	586.0	542.0	-2.397329358538166	4.25541285588363e-279	3.0891637700680224e-278
PF00348	42.0	98.0	-3.2579713530060967	8.139216279094503e-73	1.6614586481842293e-72
PF12799	109.0	84.0	-2.1637628239851794	7.442899328931836e-40	1.0581306695904929e-39
PF13379	382.0	566.0	-2.873014237158378	0.0	0.0
PF04679	585.0	397.0	-2.069351218057434	4.899652430532465e-170	2.1038618477129236e-169
PF18734	94.0	18.0	-0.8041388339070921	0.0052927069464031445	0.005498639640650494
PF15723	73.0	32.0	-1.6079707145759266	4.0034999555219815e-11	4.4669214201141036e-11
PF14520	236.0	154.0	-2.0043422777843474	9.732197178946417e-65	1.8115299716901063e-64
PF01210	14.0	139.0	-4.663074049704991	3.785356415323318e-133	1.2950490357578893e-132
PF13223	92.0	18.0	-0.8254380263841541	0.0046073258328681215	0.004793021903158373
PF02798	879.0	585.0	-2.0710984167321542	1.5355653370197358e-248	9.362515165083586e-248
PF01207	106.0	62.0	-1.8891931271816156	4.251660010396214e-25	5.253513938377875e-25
PF05943	103.0	152.0	-2.8162219665825914	1.5020721517948369e-96	3.855595147645753e-96
PF13565	915.0	595.0	-2.048857234395314	5.338083896693399e-249	3.263254971583886e-248
PF04120	120.0	89.0	-2.126115561395767	3.3677309941746387e-41	4.877331109393819e-41
PF00766	132.0	243.0	-3.048206147030308	2.4926131368477072e-166	1.0489746950900766e-165
PF06233	53.0	57.0	-2.490291100769162	1.296192228004354e-32	1.6954135955259654e-32
PF01391	51.0	134.0	-3.382498388690105	2.7306263305428195e-102	7.291086167644794e-102
PF00266	385.0	583.0	-2.8969836779023375	0.0	0.0
PF04616	109.0	69.0	-1.9677395159415638	2.846925273923655e-29	3.6297515978730247e-29
PF00941	276.0	378.0	-2.7706862676276396	2.445811405613536e-232	1.399413767300553e-231
PF07714	924.0	423.0	-1.6757701498795474	1.5423498925372355e-134	5.300116568585796e-134
PF00923	66.0	59.0	-2.308595266495686	7.917637151415862e-31	1.0206809712951746e-30
PF14072	221.0	62.0	-1.1580875653448919	9.716292270517037e-13	1.097275009451195e-12
PF17389	65.0	101.0	-2.8595026705302713	7.234369962944572e-66	1.3685212885928535e-65
PF18019	40.0	123.0	-3.533911815472297	1.0512183222486116e-97	2.719354301317956e-97
PF00230	183.0	122.0	-2.022786008908109	2.5874999383111906e-52	4.235914275332555e-52
PF12762	258.0	79.0	-1.244537417935035	1.4176401886029472e-17	1.6632212919821445e-17
PF16572	121.0	110.0	-2.330218397420959	1.2240664064885862e-56	2.1000784802606987e-56
PF18928	295.0	67.0	-0.9465839880793689	5.241484992008906e-10	5.781562030596718e-10
PF07929	252.0	164.0	-2.0026176389895824	9.896380746286924e-69	1.9334981054351994e-68
PF03706	91.0	141.0	-2.8629589072932125	2.6513357334581764e-91	6.456030302749837e-91
PF01292	423.0	334.0	-2.2142528413262776	5.895269481917064e-157	2.361157070085059e-156
PF13380	196.0	205.0	-2.480531896721965	5.093994202628431e-112	1.457308932599242e-111
PF01041	138.0	569.0	-3.894933834379012	0.0	0.0
PF04134	58.0	72.0	-2.633564733600043	1.967890689488184e-43	2.9135819449847365e-43
PF08546	164.0	183.0	-2.542414045198848	3.3983377762491164e-103	9.105350235555592e-103
PF00142	110.0	512.0	-4.007267598511723	0.0	0.0
PF11162	62.0	79.0	-2.660363654459719	5.0400344510641185e-48	7.841929021983889e-48
PF08530	209.0	127.0	-1.9308025857201998	4.018701678701561e-51	6.48745239723678e-51
PF05717	916.0	535.0	-1.9336701833845291	2.5285711899530024e-207	1.308211776004638e-206
PF21686	222.0	239.0	-2.5133622662862614	2.9116313085653745e-132	9.874043109193234e-132
PF00115	277.0	430.0	-2.902411468958126	1.2398550089492934e-277	8.834917747819658e-277
PF20510	44.0	69.0	-2.8622487673741728	1.2812610889063885e-45	1.9466118440350168e-45
PF01134	8.0	653.0	-6.7823108826697585	0.0	0.0
PF00871	92.0	117.0	-2.663983376775493	2.3743707172603316e-70	4.7304143878179675e-70
PF11358	200.0	28.0	-0.47763691599415126	0.02976736325298651	0.03066500436216748
PF13416	966.0	1102.0	-2.6797490840885807	0.0	0.0
PF11903	100.0	48.0	-1.6939154688305105	3.8662441276013046e-17	4.517749048499915e-17
PF00075	221.0	42.0	-0.7736702549537697	0.00003832115418468038	0.0000407228001697221
PF10074	1408.0	158.0	-0.2346777542840525	0.008158346431506846	0.008449326241814714
PF18312	90.0	56.0	-1.9505067653248436	8.756947618994847e-24	1.0706520694171069e-23
PF13469	201.0	134.0	-2.0238531641236155	2.589479252793447e-57	4.4757145120827215e-57
PF13490	67.0	101.0	-2.829628494396379	3.880806070252564e-65	7.276119855687415e-65
PF03330	90.0	24.0	-1.1223751829182647	0.000016057229157536007	0.000017118376931140957
PF18011	50.0	107.0	-3.1753987593115474	1.991409194169047e-77	4.275456153470145e-77
PF02781	105.0	105.0	-2.4242566472292904	8.596949084013714e-57	1.4771237220535398e-56
PF20703	146.0	231.0	-2.8960117122252154	4.839557966243897e-150	1.828015147249524e-149
PF19607	967.0	48.0	0.5758275521663621	0.000015394204932043376	0.000016426613714807884
PF00866	189.0	237.0	-2.665248211112481	1.9548163382129896e-140	6.9223145635194735e-140
PF13495	668.0	413.0	-1.977461510746561	3.5679690127364156e-166	1.4988050662905413e-165
PF14311	31.0	69.0	-3.2033089737754423	5.150132278657406e-51	8.308164780084134e-51
PF13655	147.0	124.0	-2.257282198385967	3.705766370549248e-61	6.611747525949234e-61
PF19663	81.0	22.0	-1.1429850610184205	0.00002807886758446002	0.00002986593836936842
PF01925	407.0	446.0	-2.555874378332776	3.6561601539768397e-249	2.240965709152559e-248
PF13649	2300.0	1424.0	-2.1011759042668383	0.0	0.0
PF00842	45.0	109.0	-3.2972348470497113	1.1371380832705593e-81	2.552243253562811e-81
PF20109	587.0	88.0	-0.5287230365515764	0.00002167347613583649	0.000023063437958565358
PF01232	102.0	118.0	-2.5703104921774154	4.13815712353785e-68	8.017463718080421e-68
PF20442	151.0	27.0	-0.7223861417854349	0.0022657377762156745	0.0023655320692804547
PF12801	21.0	92.0	-3.865075103509861	5.654590068539592e-79	1.2333908665931898e-78
PF01135	213.0	396.0	-3.078157010270273	3.8798634227650636e-272	2.698479859605761e-271
PF19556	62.0	54.0	-2.2825640215708582	5.726643796485158e-28	7.210294601211394e-28
PF01810	399.0	468.0	-2.6266930154120067	8.079027995770997e-270	5.519877068875302e-269
PF14559	1180.0	653.0	-1.8924331834789834	4.3628234163143195e-244	2.618821394340611e-243
PF18272	48.0	60.0	-2.638310074820536	1.4972856491753122e-36	2.050822265940006e-36
PF13408	958.0	157.0	-0.6180365468641701	4.631849445347867e-11	5.165523889362984e-11
PF03952	85.0	62.0	-2.107900649317671	6.850335677123506e-29	8.700563027861074e-29
PF03458	71.0	40.0	-1.8534432980377018	2.5378221873008565e-16	2.946207366866512e-16
PF12695	13.0	172.0	-4.947886948389052	4.6574587249617086e-169	1.9925002979900644e-168
PF20131	166.0	30.0	-0.7302613269115918	0.0009632535770712819	0.0010102203429059088
PF16868	87.0	193.0	-3.2260444503126187	3.851475786032877e-140	1.359723138442914e-139
PF06564	891.0	1664.0	-3.2570322661558597	0.0	0.0
PF01446	213.0	71.0	-1.3295278924606264	1.5481376348416363e-17	1.8135772696606762e-17
PF00924	196.0	256.0	-2.708219574599816	2.884599489059831e-154	1.1281017867148128e-153
PF00441	993.0	935.0	-2.4640984353068593	0.0	0.0
PF00436	5807.0	719.0	-0.35128445237176315	3.4319107273565214e-16	3.9782078940365264e-16
PF04261	54.0	74.0	-2.731088497026578	2.0551149290126993e-46	3.138745549044379e-46
PF03775	79.0	75.0	-2.36949999130032	5.677766850517793e-40	8.081772300093647e-40
PF12642	906.0	238.0	-1.0985004176631408	1.3708471415928274e-40	1.9669412661643843e-40
PF00415	88.0	24.0	-1.1446200040275638	0.000011732447111649335	0.00001254232611153309
PF03364	108.0	167.0	-2.8646272664371697	7.923906161991056e-108	2.1861323057369624e-107
PF09369	374.0	73.0	-0.7944475697062799	1.9685570322377574e-8	2.156038654355639e-8
PF00463	0.0	118.0	-7.206108218613332	4.238309881602204e-129	1.3906206009833222e-128
PF02481	333.0	104.0	-1.2644522486962182	3.5955813133948565e-23	4.375345935576874e-23
PF01073	485.0	932.0	-3.181649262712374	0.0	0.0
PF04717	245.0	240.0	-2.419235620398789	7.509882624136995e-127	2.446768209799473e-126
PF04397	208.0	101.0	-1.70527341842413	1.1808916166886918e-34	1.5811015709324673e-34
PF13586	505.0	559.0	-2.57979913768964	1.260724742e-314	1.09687774376e-313
PF04191	225.0	211.0	-2.3723541952365417	3.571503197761558e-109	9.97187731778858e-109
PF09364	88.0	84.0	-2.375832738236803	1.0506095129416235e-44	1.579654303277276e-44
PF01326	61.0	79.0	-2.67637455346544	2.410060527027372e-48	3.7650104938026804e-48
PF01507	374.0	284.0	-2.169533494180783	2.0110796320996287e-130	6.654897415053329e-130
PF02653	1177.0	1087.0	-2.4641756878144716	0.0	0.0
PF13031	183.0	54.0	-1.2094516489066844	5.442655729384409e-12	6.101973580772192e-12
PF07221	46.0	86.0	-3.0382725254241403	5.703206824163336e-60	1.0082609933433356e-59
PF02769	76.0	111.0	-2.80001169930515	1.3420522941894531e-70	2.6760407548515876e-70
PF00116	119.0	226.0	-3.076822492606158	2.55877299681847e-156	1.0195591203446495e-155
PF01497	211.0	427.0	-3.1667944141418225	1.1510501509948515e-301	9.284338544309166e-301
PF13384	887.0	1611.0	-3.220999399089292	0.0	0.0
PF11716	116.0	85.0	-2.113814293592128	3.9015091222884575e-39	5.5229772645192485e-39
PF02954	484.0	677.0	-2.829432082769516	0.0	0.0
PF00381	41.0	90.0	-3.196252928594186	7.74003135297287e-66	1.4617961652809738e-65
PF13307	124.0	61.0	-1.7173886805630032	8.923130983906828e-22	1.0779216471978971e-21
PF02223	154.0	45.0	-1.2014723402791287	3.922174369663888e-10	4.330423507951147e-10
PF21716	205.0	94.0	-1.647793905753273	7.2626910841826125e-31	9.367702048060082e-31
PF00550	442.0	631.0	-2.8440280722753415	0.0	0.0
PF04632	146.0	186.0	-2.6746750434599957	3.775257893441675e-111	1.0721178589810528e-110
PF01943	111.0	222.0	-3.127615312018161	4.1236041838458e-156	1.6346642524016712e-155
PF05437	59.0	74.0	-2.6440245604355064	8.675995859664014e-45	1.3061787674659432e-44
PF04607	213.0	63.0	-1.2107496499622563	9.063007439419286e-14	1.0325339029804317e-13
PF01882	64.0	55.0	-2.269432809915458	2.929568318015065e-28	3.700591192359432e-28
PF18735	94.0	19.0	-0.855555165451332	0.002833677456079117	0.0029558296948683383
PF21205	1716.0	925.0	-1.8972443749435786	0.0	0.0
PF20698	97.0	22.0	-0.964563181319158	0.00030098912659034215	0.0003170964812105963
PF14319	449.0	144.0	-1.292853172858062	1.748482154390863e-32	2.284434220838006e-32
PF07536	308.0	302.0	-2.427398457684607	1.3714632177153226e-159	5.579525489934666e-159
PF08544	30.0	88.0	-3.4775761421456854	1.642566045709296e-69	3.230889859595847e-69
PF04209	42.0	62.0	-2.8015016004573043	2.9924063406971974e-40	4.2725014932019605e-40
PF00267	134.0	356.0	-3.428333941199409	1.795071351650571e-271	1.2373741097579457e-270
PF01118	113.0	136.0	-2.611837679203757	1.1778862154873617e-79	2.5960433383084834e-79
PF02146	138.0	47.0	-1.3534059254098556	2.1079227936633156e-12	2.3747355236080904e-12
PF05951	72.0	72.0	-2.4204946227838455	2.0055257196614335e-39	2.8442223728776007e-39
PF01569	282.0	388.0	-2.7765319479733828	5.833723606488264e-239	3.387934984468059e-238
PF13483	83.0	155.0	-3.0498069446810767	6.158284791042112e-107	1.685005367442971e-106
PF07366	565.0	368.0	-2.0248796776987397	2.433366744583189e-153	9.389885295127489e-153
PF00574	94.0	58.0	-1.942180655312182	1.92283575794168e-24	2.367115774085068e-24
PF01695	1015.0	950.0	-2.459960104824421	0.0	0.0
PF11140	98.0	68.0	-2.0587056386459635	1.339141306740949e-30	1.7244042436581066e-30
PF05025	133.0	87.0	-2.0012030377026524	2.7284767443896642e-37	3.78629120502819e-37
PF08535	538.0	177.0	-1.3206081019624085	8.841444936105539e-41	1.2733215490745919e-40
PF04229	69.0	66.0	-2.375978011165465	1.7135152478051478e-35	2.3169359258738987e-35
PF13556	181.0	203.0	-2.5498831537453004	1.2650672173039554e-114	3.7011979166210176e-114
PF03009	58.0	142.0	-3.3147057812049	2.617236322079278e-106	7.1443477981083e-106
PF06776	52.0	83.0	-2.8826001670431385	6.435832398029469e-55	1.0810150875359694e-54
PF07969	403.0	744.0	-3.116384413192877	0.0	0.0
PF14490	208.0	104.0	-1.7346360416842685	1.745137698266734e-36	2.3860829152875944e-36
PF17761	881.0	217.0	-1.0320900591358895	1.5268769326987965e-33	2.0233514630115824e-33
PF02056	56.0	109.0	-3.0827093245313155	1.3345471535875398e-76	2.8389679833185484e-76
PF08279	184.0	1100.0	-4.340163313235589	0.0	0.0
PF07724	331.0	273.0	-2.2510296600906017	1.4349456666339595e-131	4.83098374433433e-131
PF10589	57.0	71.0	-2.6367519958110206	6.5365903196868564e-43	9.634834589233863e-43
PF18014	77.0	134.0	-2.9767569560035314	1.7877560497523724e-90	4.321495633272385e-90
PF10091	79.0	81.0	-2.4462329192059746	1.0836555008172923e-44	1.6282870170754013e-44
PF12867	222.0	239.0	-2.5133622662862614	2.9116313085653745e-132	9.874043109193234e-132
PF02777	124.0	65.0	-1.780405949946816	2.991120139592065e-24	3.6783335544056995e-24
PF18899	89.0	33.0	-1.442030410643584	6.547542100361487e-10	7.208502511440632e-10
PF00768	84.0	67.0	-2.1966014534405134	9.831908987217168e-33	1.2903686201867503e-32
PF07044	100.0	46.0	-1.651995095307609	6.037327864944713e-16	6.984418640571e-16
PF10137	233.0	47.0	-0.8315150513281232	3.049695282461665e-6	3.2813534697352696e-6
PF00689	155.0	141.0	-2.3341988429673477	3.2510390926887395e-72	6.584275337677369e-72
PF13407	1122.0	1155.0	-2.582996708245554	0.0	0.0
PF09707	28.0	74.0	-3.3713945753490138	3.4316573199091247e-57	5.926944203828177e-57
PF01062	78.0	45.0	-1.8762744451344018	1.8073492138344105e-18	2.1268856249935844e-18
PF08900	314.0	46.0	-0.5121904016031662	0.0027832699703087063	0.0029045535224740005
PF03683	93.0	15.0	-0.6425126934092981	0.05044632397337507	0.0517381062208169
PF02868	23.0	94.0	-3.7995706944498715	1.2729375465241603e-79	2.802875754100118e-79
PF04313	539.0	151.0	-1.1575606069481132	1.0045141599167689e-28	1.2737371143486104e-28
PF03764	64.0	59.0	-2.3389217795879116	2.590345886993747e-31	3.348566218968545e-31
PF00474	200.0	180.0	-2.327843596885291	2.608472971966461e-91	6.358323939011636e-91
PF10263	188.0	65.0	-1.3662736526366488	8.059824183741522e-17	9.403802902476924e-17
PF01817	87.0	66.0	-2.1469444165488447	2.298480821394292e-31	2.972923690478251e-31
PF19291	59.0	108.0	-3.0221267353012524	1.978912668790259e-74	4.1008154590542116e-74
PF07042	367.0	69.0	-0.7573000957147589	1.6885889963718905e-7	1.8312755548888428e-7
PF06996	148.0	155.0	-2.4759749467985523	4.893082236217813e-85	1.1343942150433113e-84
PF13361	153.0	448.0	-3.537708010298939	0.0	0.0
PF07419	142.0	52.0	-1.4247023262329526	1.430056464018735e-14	1.638077497985957e-14
PF04966	171.0	85.0	-1.727895284162553	5.731905557741145e-30	7.352411159929695e-30
PF08238	760.0	213.0	-1.1619721240812648	5.981771108134244e-40	8.509280027064206e-40
PF00561	1961.0	1783.0	-2.5445030409903393	0.0	0.0
PF00669	58.0	82.0	-2.7631907865168657	6.80785183912225e-52	1.1097992857741043e-51
PF08220	258.0	646.0	-3.4082708777000974	0.0	0.0
PF13572	320.0	31.0	-0.10698390762453748	0.6272944880304725	0.6327421171058566
PF07647	77.0	65.0	-2.2525172152769946	8.381672240119611e-33	1.1006571291010659e-32
PF12710	236.0	440.0	-3.0866666029169116	6.900555794177201e-303	5.624558284166189e-302
PF07729	1295.0	1249.0	-2.529616669231249	0.0	0.0
PF09678	116.0	167.0	-2.793714758881883	5.8988150123053925e-105	1.5970801018164833e-104
PF01297	85.0	106.0	-2.643078088121659	2.3673127423926847e-63	4.3335441296912584e-63
PF14568	62.0	181.0	-3.495144967894425	1.812049792481571e-141	6.466039428471106e-141
PF12833	2946.0	1820.0	-2.152888140328714	0.0	0.0
PF01968	204.0	290.0	-2.796922522836487	8.642676508720452e-181	3.898434471797594e-180
PF00578	688.0	586.0	-2.319744956657682	4.993083473190935e-289	3.828030662779717e-288
PF04754	65.0	79.0	-2.6138119207515786	4.3724230965983286e-47	6.744448109825975e-47
PF02012	135.0	128.0	-2.3739703021103136	4.195315426712962e-67	8.041021234533177e-67
PF16242	52.0	62.0	-2.5923058416079092	5.57401781120082e-37	7.693668078086455e-37
PF13276	1008.0	1039.0	-2.5689676127158494	0.0	0.0
PF13540	94.0	31.0	-1.3270376360891418	2.012722922598375e-8	2.2023341258577603e-8
PF09967	174.0	114.0	-2.004779598671769	1.9692482342766186e-48	3.078441216840232e-48
PF00765	733.0	321.0	-1.620781781839771	4.5141087817191905e-98	1.1769107407332972e-97
PF00403	396.0	605.0	-2.9086788839434665	0.0	0.0
PF03781	359.0	202.0	-1.8607886555196957	3.6593259787386544e-76	7.713806033221321e-76
PF00155	1187.0	1255.0	-2.623505485688794	0.0	0.0
PF08659	3146.0	2268.0	-2.379108240880474	0.0	0.0
PF03848	38.0	117.0	-3.533593939047713	4.975943868011125e-93	1.231002939871123e-92
PF05443	496.0	199.0	-1.521517404766936	2.4543972070386296e-56	4.192326994081424e-56
PF12852	350.0	308.0	-2.319869877797448	7.929084024946318e-154	3.0750020350501335e-153
