NCBIFam	Meta	Isolate	log_odds	p	padj
TIGR01479.1	101.0	84.0	-2.2393566372502987	1.341909618260063e-41	2.3309775770604407e-41
TIGR00077.1	39.0	143.0	-3.710658821739311	7.0329046134003645e-118	5.566610349663119e-117
NF003816.0	45.0	132.0	-3.489987119304894	1.351119837743781e-103	8.856168311461189e-103
TIGR00229.1	2160.0	1232.0	-1.9923923422111034	0.0	0.0
TIGR03491.1	289.0	38.0	-0.4075807553019754	0.033361039344142585	0.034987390012169536
TIGR02771.1	1076.0	190.0	-0.6945196941466174	1.0095849966273489e-15	1.249324206740923e-15
NF040521.1	41.0	72.0	-2.9736100057927253	1.9835374238542117e-49	3.981310762233693e-49
TIGR01720.1	20.0	112.0	-4.108895835363531	6.452547454960793e-100	3.866919510508647e-99
TIGR01099.1	80.0	78.0	-2.396154725800742	4.638091653713294e-42	8.090143237973916e-42
NF009214.0	73.0	63.0	-2.2741835030699002	3.2309926449266147e-32	4.858069586188942e-32
TIGR02775.1	3587.0	355.0	-0.10632015722362943	0.07100266406738526	0.07381813525717004
TIGR00500.1	101.0	83.0	-2.2273975578101814	7.48371627844005e-41	1.2866471224613118e-40
NF011635.0	60.0	104.0	-2.9676990304507096	1.957068242239678e-70	6.464489193854684e-70
TIGR01549.1	137.0	421.0	-3.582035395758895	0.0	0.0
TIGR02047.1	34.0	69.0	-3.113666215244057	1.1837052083526677e-49	2.3930811320672005e-49
TIGR02613.1	128.0	27.0	-0.8867065635344441	0.00018600623096042153	0.00020588288624774889
NF003478.0	58.0	45.0	-2.1683972636771176	3.7480144234869906e-22	4.800891757718451e-22
NF007739.0	286.0	454.0	-2.9277800662022	1.1033152422003162e-295	3.085604960686884e-294
TIGR03352.1	102.0	112.0	-2.5178234972425835	3.2412994883076545e-63	9.345189933643031e-63
TIGR02504.1	97.0	27.0	-1.161889673104915	2.4995198120362452e-6	2.8377498271967653e-6
TIGR00871.1	94.0	99.0	-2.4749184226819616	5.597877890774854e-55	1.3418913001028864e-54
TIGR01230.1	40.0	121.0	-3.5174004752946484	9.082508408789996e-96	5.114244667768326e-95
TIGR01222.1	76.0	75.0	-2.407753193925217	9.67276600348578e-41	1.6596013654242472e-40
TIGR03924.1	91.0	35.0	-1.4774352759390927	9.050427857057492e-11	1.0816679447394923e-10
TIGR00745.1	136.0	145.0	-2.4925629053828837	2.5900557722213554e-80	1.0652239180851553e-79
NF009906.0	32.0	85.0	-3.3803719403261394	1.4475714942663888e-65	4.368749941329137e-65
NF041264.1	128.0	37.0	-1.1933237973675477	1.707209600568692e-8	1.9949148396617443e-8
TIGR03783.1	337.0	32.0	-0.08608608316747424	0.7046139080198828	0.7122542997935923
TIGR01472.1	50.0	77.0	-2.846232038635534	2.1017616165278072e-50	4.3326240694516715e-50
NF006615.0	158.0	90.0	-1.8637634155580092	4.67418077788515e-35	7.343890772744646e-35
TIGR03396.1	48.0	53.0	-2.5155521763226423	8.589995969019518e-31	1.2688391933111575e-30
NF004790.0	49.0	57.0	-2.567293910052649	9.185577247028342e-34	1.4166726673266137e-33
TIGR00287.1	125.0	106.0	-2.260712484596439	1.1968871389263732e-52	2.6921938594081154e-52
TIGR00063.1	55.0	47.0	-2.2634216109450427	2.6661229825751922e-24	3.522641232095411e-24
TIGR02424.1	30.0	78.0	-3.3571407594688916	5.923716151616688e-60	1.5980700486194216e-59
NF005829.0	333.0	160.0	-1.69892854426528	1.528567827517944e-53	3.5232648551855903e-53
TIGR00594.1	503.0	282.0	-1.8651573655954399	1.1070877236503128e-105	7.61349672248043e-105
TIGR00608.1	523.0	111.0	-0.8774099637610289	4.1210480308669203e-14	5.054911254235886e-14
NF002825.0	39.0	63.0	-2.8897257227392865	3.203857512924326e-42	5.600075944465644e-42
TIGR00787.1	138.0	275.0	-3.1313351581290494	4.67852469993451e-193	6.8864600407807966e-192
NF005095.0	72.0	45.0	-1.9553269200718448	1.799318982687119e-19	2.28040578017295e-19
TIGR00494.1	95.0	70.0	-2.1183315958292708	1.3015907270250048e-32	1.9676299458990613e-32
TIGR00518.1	46.0	78.0	-2.9408153458134145	8.485245282329363e-53	1.9189004829849958e-52
NF010404.0	681.0	175.0	-1.0721512170478962	2.764686683613997e-29	3.97868289460059e-29
TIGR03978.1	130.0	34.0	-1.0953080012353822	4.589231827447806e-7	5.281708509230054e-7
TIGR01842.1	99.0	119.0	-2.6083951213339294	7.760476226572045e-70	2.523658741896878e-69
TIGR00654.1	103.0	78.0	-2.1459661652251074	9.561950200154688e-37	1.531006911818661e-36
TIGR01930.1	566.0	502.0	-2.3504094906607516	1.5428946416974738e-252	3.595801678844946e-251
TIGR01197.1	80.0	89.0	-2.5278873277155225	7.644977187105803e-51	1.6075528471132253e-50
TIGR02776.1	202.0	205.0	-2.450464014790115	2.145831880690352e-110	1.538763203332654e-109
NF006719.0	54.0	80.0	-2.808796497255353	1.4369515924153246e-51	3.1291923793242627e-51
NF004824.0	133.0	144.0	-2.5077379583680783	2.405254273954034e-80	9.940927762795243e-80
TIGR02738.1	52.0	75.0	-2.7815203953058747	5.905192072178236e-48	1.1548848831136457e-47
NF033545.0	424.0	391.0	-2.37639566702979	2.36520381020102e-200	3.81616537838203e-199
TIGR02115.1	40.0	62.0	-2.8491502787338123	5.687161288198095e-41	9.797799426690353e-41
NF008653.0	338.0	577.0	-3.016213103137523	0.0	0.0
NF038310.1	1.0	155.0	-6.788339227192578	2.4452406817218612e-167	3.0169954881832963e-166
NF041859.1	290.0	37.0	-0.3780279052882355	0.05430950278748227	0.05674429992365831
TIGR03759.1	302.0	48.0	-0.5930840668737523	0.0005730288229169871	0.0006211513984849511
TIGR03859.1	24.0	76.0	-3.546421404509918	2.6686636929340346e-61	7.341012584825098e-61
TIGR00935.1	61.0	88.0	-2.784105908918737	5.178440071921674e-56	1.2741088622704645e-55
TIGR02034.1	72.0	61.0	-2.2558027936109304	6.120423653400366e-31	9.056499903356097e-31
NF010258.0	56.0	56.0	-2.418676680865873	5.26575754579873e-31	7.805601733083277e-31
TIGR00794.1	53.0	50.0	-2.36080621392199	4.458999408849567e-27	6.256020909740446e-27
NF009116.0	48.0	71.0	-2.805468940423624	6.5587682233482855e-46	1.2174350750861087e-45
TIGR03353.2	110.0	150.0	-2.737597329956656	2.0906775138251664e-92	1.0566737554815147e-91
NF010459.0	175.0	44.0	-1.0520803097577407	3.448036606550333e-8	4.0123477293976824e-8
TIGR00872.1	64.0	43.0	-2.026784957966792	1.5517079367210239e-19	1.9695657472147338e-19
NF038324.1	174.0	28.0	-0.6164425244579937	0.0065455281724953514	0.006942728365010872
NF004628.0	99.0	131.0	-2.705210132741426	6.758989070538023e-80	2.7528115680492243e-79
NF002068.0	74.0	37.0	-1.7362327334579302	5.5673467754858916e-14	6.81898386077761e-14
TIGR00027.1	83.0	71.0	-2.26610227818626	6.089326880977988e-36	9.621365825123414e-36
NF009920.0	29.0	77.0	-3.3770771730018136	1.6007037770477342e-59	4.304456631227721e-59
TIGR02746.1	397.0	238.0	-1.9278521099730348	9.030619414247445e-94	4.919928369190654e-93
TIGR02778.1	202.0	220.0	-2.5226541569965164	1.794879127510081e-122	1.4479842192124596e-121
TIGR00506.1	67.0	89.0	-2.702967117669456	7.814429204548049e-55	1.857310510656038e-54
TIGR02777.1	131.0	159.0	-2.623125607534306	3.042339840309052e-93	1.6155209658349964e-92
NF010409.0	91.0	118.0	-2.683369163350455	1.6337996804153354e-71	5.483031727473865e-71
TIGR03735.1	122.0	108.0	-2.3036117216816465	7.25752359570908e-55	1.7298472434090674e-54
TIGR00305.1	348.0	54.0	-0.5674935369648857	0.0003594604513852437	0.0003932038053614334
TIGR00937.1	159.0	145.0	-2.3371199200198003	2.545240835135516e-74	8.934966781082417e-74
TIGR03070.1	99.0	20.0	-0.8531206227906051	0.0021077571896720468	0.002258503553173496
NF010416.0	95.0	124.0	-2.6907088238848824	2.7924240424851775e-75	1.005512348345521e-74
TIGR00347.1	70.0	42.0	-1.915315462938615	8.471382762628629e-18	1.0608194235590179e-17
TIGR00847.1	39.0	80.0	-3.1274065435514338	1.6006610793872944e-57	4.069559532139212e-57
TIGR03361.1	219.0	228.0	-2.478622568752631	3.281079255249475e-124	2.780631813287181e-123
NF001527.0	95.0	158.0	-2.935572734347266	8.570436154106663e-105	5.752476746636392e-104
NF007161.0	74.0	64.0	-2.2763782119539373	9.674250221774329e-33	1.4704159304472214e-32
NF033573.1	115.0	223.0	-3.0970820536436285	2.7444764170277934e-155	3.1116428566031337e-154
TIGR03830.1	95.0	50.0	-1.7849948479217044	4.521950404346881e-19	5.713729501878062e-19
NF009589.0	58.0	68.0	-2.5767144626439618	4.033499093109233e-40	6.8643118440540495e-40
TIGR03618.1	75.0	32.0	-1.581281040922897	6.940841590854717e-11	8.307226953961637e-11
TIGR03747.1	378.0	48.0	-0.3684382582823253	0.026723414362777746	0.028131674592685736
TIGR01907.1	36.0	102.0	-3.4484250576945543	1.1193708382468966e-79	4.536966827483798e-79
NF005406.0	18.0	88.0	-3.9672461521909685	4.557801295716788e-77	1.7541262784891675e-76
