Query_name,Agricultural land,Grasslands,Other,Peat,Rhizosphere,Temperate forest,Tropical forest
K00001,-0.010793364906407733,-0.0028326905954761073,0.009539266837437325,-0.019246247080143164,0.019476386832315017,-0.02143760641583215,0.0014244278263330983
K00002,-0.008648653121705697,-0.0038237811942967537,0.0035698754045684084,-0.0030142199180750577,0.005727564711333726,-0.0014585465672641443,-0.006109857170897619
K00004,-0.009059259609175755,-0.008526798172915125,0.010556703733767978,-0.017479816747356484,0.019766937983722543,-0.018525785289774672,-0.003441715987024019
K00005,-0.0020324291925984325,-0.0010347753768272419,0.0017767814583515794,-0.0012640052175654259,0.001169001117413374,-0.0015291069074311924,-0.00038878239502923855
K00007,-0.0033845097117341134,-0.0003645415820462924,0.0005453211117500905,-0.001738306772715216,0.0005790199996197972,-0.0008161601517571315,0.0036921769540060284
K00008,-0.007089370278508873,0.00304696470637013,0.005892337499020108,-0.010897335429817386,0.013939332220890744,-0.010834487722420147,-0.013243395753697183
K00010,-0.004873027332685139,-0.013887755467343598,0.022116736664871395,-0.009389201048111506,0.003692855665269715,-0.012625717648833884,-0.0072343662347674476
K00015,0.006776549198413778,-0.0032787727382101745,0.002845647885375397,-0.002510824741879415,0.0019769397748561615,-0.0026750172302486435,-0.00339249981647323
K00018,0.006604782705532071,-0.0030700588505598856,0.003181572777615423,-0.004357323344924209,0.005746330579370099,-0.005727630677449795,-0.0063921802710750954
K00023,-0.018506684728765026,0.02969799533604523,0.027692205685218872,-0.06179476217485191,0.06497370257103495,-0.05962947815117294,-0.05446075336663304
K00032,0.006377994875390024,-0.0028979035710429623,0.0034253622062995264,-0.004287162434382739,0.005624902554735536,-0.00550901529277546,-0.007068975193535322
K00034,-0.016964488886114334,0.0300759098871962,0.028034409694074624,-0.060832413784312,0.0631558487819012,-0.05893310793501818,-0.054503705906883276
K00038,-0.011519467411190308,0.026469704995156336,0.024815095348732382,-0.047300787883255,0.05019909028040273,-0.04537595450685134,-0.056095702205939534
K00039,-0.016863726091515874,0.02607834634956003,0.028242565737764548,-0.06100973890912706,0.06378871539296352,-0.0590889226310638,-0.05200884036341819
K00041,-0.0030061411705626646,-0.00016667373172182492,0.00025398620705855226,-0.0016263037225571128,0.0005268700598852125,-0.000854106776956996,0.003892218051413861
K00043,0.009307625681794808,-0.0023530443475683603,0.0009488249282579975,-0.002290872288923114,0.0028136974382861973,-0.0028732869393483635,-0.0038101779875804385
K00044,-0.0020519318312454036,-0.0014121938327987676,0.0015122749583032474,-0.002463862479969069,0.0035678559641857035,-0.0016465092279812823,-0.003052476587523593
K00045,-0.004501730331024712,-0.00010201872466602791,0.00041274879821452307,-0.001589705771013352,0.0005533904926513341,-0.0007034042624860722,0.003957583185482604
K00046,-0.01701528410379245,0.030159085804069136,0.02766225539164166,-0.061568847786963955,0.06439466109892614,-0.0593327920979178,-0.05500006478940116
K00048,0.009487626032547491,-0.002603239248778528,0.0007367684174259772,-0.002015396098763104,0.0028856365524046338,-0.0029947670089502214,-0.0037150129202445526
K00049,0.006268587141510309,-0.0026976380806573073,0.0017092693099604063,-0.002330002438969743,0.003015184454210988,-0.002798897622380935,-0.004003931347788238
K00052,0.0017490241685261833,0.0006010048460163817,-0.0003842170982018276,-0.0010358323925514846,0.0018178256416938449,-0.0007718199499629302,-0.0023707404298862304
K00055,-0.004550293483945292,-0.0005123377021449401,0.0022848884566294336,-0.004811806069514257,0.008523856105638673,-0.007840309885085753,-0.004541440343493686
K00060,-0.012597145835596523,-0.004041705538649029,0.007394232113813805,-0.011140388522597217,0.014321596303920946,-0.012357065644153616,-0.004978211589724603
K00062,-0.0013432445800576319,-0.0004039106452827644,0.0017139279202829088,-0.003156111992825288,0.002918197662878971,-0.00038946623012778005,-0.003619033642428634
K00064,-0.005640382729243508,-0.0027504583037280253,0.004152676256989142,-0.003938623844103609,0.0056632362768496165,-0.0015114307816490318,-0.00815771709137571
K00065,-0.012187060727858315,0.02341695531324502,0.024367097830669655,-0.046374180668198824,0.049291146108810434,-0.044741544493135624,-0.051910572102522735
K00066,0.0033391471356445405,-0.0023805158222625434,0.0019453148116354534,-0.0016086623251550054,0.0009248773752149687,-0.0002640640100765513,-0.002600144585856627
K00068,-0.016039172982575404,0.03040168263763514,0.027478390972743603,-0.060149048605476194,0.06277370533389791,-0.05952123300241332,-0.05367162198932636
K00072,-0.013418013323472614,-0.015247041264796231,0.012246565963602787,-0.012743055945385131,0.013442021011022464,-0.013054215867925132,0.002296921505077429
K00073,0.0010697542810601587,-0.0031974803303104135,0.0012435281162032983,-0.0016812934826558221,0.0012721820936711476,-0.0017483382164121897,0.0020659297208191697
K00076,-0.021301790671591533,0.030406800240382816,0.027958206462106165,-0.06074645290197599,0.06534857720338265,-0.05981052903592297,-0.056838277268798795
K00081,-0.018195575631007422,0.01885430587541771,0.02555409478564711,-0.050099001558154284,0.05257938798899144,-0.05088984605126752,-0.040396212479627776
K00083,-0.005614086952288317,-0.004381871838838633,0.0014259621105091667,-0.0032443714709295642,0.005538269257970464,-0.005552220119015349,0.0034591050579322585
