	Agricultural land	Grasslands	Other	Peat	Rhizosphere	Temperate forest	Tropical forest	Unclassified
PTU-00137	1	1	1	0	1	0	1	1
PTU-00138	1	0	0	0	1	1	0	0
PTU-00139	0	0	0	0	1	0	0	0
PTU-00140	1	0	0	0	1	0	1	1
PTU-00141	0	1	0	0	1	0	0	0
PTU-00142	0	0	0	1	0	1	0	0
PTU-00143	1	0	0	1	1	0	0	1
PTU-00144	1	1	0	0	0	0	1	1
PTU-00145	1	0	0	0	0	0	0	1
PTU-00146	1	1	1	1	0	1	0	1
PTU-00147	0	1	0	1	0	0	0	0
PTU-00148	0	1	1	1	1	1	0	0
PTU-00149	1	0	0	0	1	0	0	0
PTU-00150	1	0	0	0	1	0	0	0
PTU-00151	0	0	0	0	1	0	0	0
PTU-00152	1	1	1	1	0	1	0	1
PTU-00153	1	0	0	0	1	0	0	0
PTU-00154	0	0	0	0	1	0	0	1
PTU-00155	0	1	0	0	1	0	0	0
PTU-00156	0	0	0	1	0	0	0	0
PTU-00157	1	0	0	0	1	0	0	0
PTU-00158	1	1	1	0	1	1	0	1
PTU-00159	0	0	0	1	0	0	0	0
PTU-00160	0	1	0	0	1	0	0	1
PTU-00161	0	1	1	1	0	1	0	0
PTU-00162	0	1	1	0	1	1	0	0
PTU-00163	0	0	0	0	1	1	0	1
PTU-00164	1	0	0	0	1	1	1	1
PTU-00165	0	0	0	0	1	0	0	0
PTU-00166	0	0	1	1	1	1	0	0
PTU-00167	0	1	0	0	1	0	0	0
PTU-00168	1	0	0	0	1	1	0	0
PTU-00169	0	1	0	0	1	1	1	1
PTU-00170	0	1	1	0	1	1	1	0
PTU-00171	1	0	1	0	1	0	0	0
PTU-00172	0	1	1	1	0	0	0	1
PTU-00173	0	0	0	0	1	0	0	0
PTU-00174	0	1	0	1	0	0	0	0
PTU-00175	0	0	0	1	0	0	0	0
PTU-00176	1	0	0	0	1	1	0	0
PTU-00177	0	0	0	0	1	0	0	0
PTU-00178	0	0	0	1	0	0	0	0
PTU-00179	0	0	0	1	0	1	0	1
PTU-00180	0	1	0	1	0	1	0	0
PTU-00181	0	0	0	0	1	1	1	1
PTU-00182	1	1	0	0	1	1	1	0
PTU-00183	0	1	0	0	1	0	0	1
PTU-00184	0	0	0	0	1	0	0	0
PTU-00185	0	0	0	0	0	1	0	0
PTU-00186	0	0	0	0	0	0	1	1
PTU-00187	0	1	1	1	0	0	0	0
PTU-00188	1	0	0	0	1	1	1	0
PTU-00189	0	1	1	0	0	1	0	0
PTU-00190	0	1	1	0	0	0	0	0
PTU-00191	0	0	1	1	0	1	0	1
PTU-00192	1	1	0	0	1	0	0	1
PTU-00193	0	0	1	0	0	1	0	0
PTU-00194	0	0	0	0	1	0	0	0
PTU-00195	0	0	0	1	0	0	0	0
PTU-00196	1	1	1	0	1	1	0	0
PTU-00197	1	0	0	1	1	1	0	0
PTU-00198	0	0	1	1	0	1	0	0
PTU-00199	0	1	0	1	0	0	0	0
PTU-00200	0	1	0	1	0	1	0	0
PTU-00201	0	1	0	1	0	0	0	0
PTU-00202	0	0	0	0	1	0	0	0
PTU-00203	0	0	0	0	1	0	0	0
PTU-00204	0	1	1	0	1	1	0	1
PTU-00205	1	0	0	0	1	0	0	0
PTU-00206	1	0	0	0	1	0	0	0
PTU-00207	1	0	0	0	1	1	0	0
PTU-00208	0	0	1	1	0	1	0	1
PTU-00209	0	0	0	1	0	0	0	0
PTU-00210	0	0	0	0	1	0	0	0
PTU-00211	0	0	0	1	0	0	0	0
PTU-00212	0	1	0	0	1	0	0	0
PTU-00213	0	1	1	1	1	1	1	1
PTU-00214	0	0	0	0	1	0	0	0
PTU-00215	0	1	0	1	0	0	0	0
PTU-00216	0	0	0	0	0	1	0	0
PTU-00217	0	0	0	1	0	0	0	0
PTU-00218	0	0	0	0	1	1	0	1
PTU-00219	0	0	0	0	1	0	0	0
PTU-00220	1	1	1	0	1	0	0	1
PTU-00221	0	1	0	0	1	0	0	0
PTU-00222	0	0	0	1	0	0	0	0
PTU-00223	0	0	1	1	1	1	1	1
PTU-00224	1	0	0	0	1	0	0	0
PTU-00225	1	0	0	0	1	1	0	1
PTU-00226	0	0	0	1	0	0	0	0
PTU-00227	0	0	1	0	1	1	0	1
PTU-00228	1	0	1	0	1	0	0	0
PTU-00229	0	0	1	0	0	0	0	1
PTU-00230	0	1	0	0	1	0	0	1
PTU-00231	0	0	0	1	0	0	0	0
PTU-00232	0	1	1	1	0	0	0	0
PTU-00233	1	0	0	0	1	0	0	0
PTU-00234	0	0	0	0	1	0	0	1
PTU-00235	1	0	1	0	1	0	0	0
PTU-00236	1	1	1	0	1	1	1	0
PTU-00237	0	1	0	1	0	0	0	0
PTU-00238	0	0	1	1	0	1	0	1
PTU-00239	0	0	0	1	1	1	0	1
PTU-00240	0	1	0	0	0	0	0	1
PTU-00241	1	0	0	0	1	0	0	1
PTU-00242	1	1	1	0	1	1	0	0
PTU-00243	0	0	0	1	0	0	0	0
PTU-00244	0	0	0	0	1	0	0	0
PTU-00245	0	0	0	1	0	0	0	0
PTU-00246	0	1	0	0	1	0	0	0
