	Agricultural land	Grasslands	Other	Peat	Rhizosphere	Temperate forest	Tropical forest	Unclassified
PTU-08584	1	0	0	0	0	0	0	0
PTU-08585	1	0	0	0	0	0	0	0
PTU-08586	1	0	0	0	0	0	0	0
PTU-08587	0	0	0	0	1	0	0	0
PTU-08588	0	0	0	1	0	0	0	0
PTU-08589	0	0	0	0	0	0	0	1
PTU-08590	0	0	0	0	1	0	0	0
PTU-08591	0	0	0	0	0	0	0	1
PTU-08592	0	0	0	0	1	0	0	0
PTU-08593	1	0	0	0	0	0	0	0
PTU-08594	1	0	0	0	0	0	0	0
PTU-08595	0	0	1	0	0	1	0	0
PTU-08596	1	0	0	0	0	0	0	0
PTU-08597	0	0	0	0	0	0	0	1
PTU-08598	0	0	0	0	0	1	0	0
PTU-08599	0	0	1	0	0	0	0	0
PTU-08600	1	0	0	0	0	0	0	0
PTU-08601	0	0	0	1	0	0	0	0
PTU-08602	0	0	0	0	1	0	0	0
PTU-08603	0	0	0	0	0	0	0	1
PTU-08604	0	0	0	0	0	1	0	0
PTU-08605	0	0	0	0	0	0	0	1
PTU-08606	0	0	0	0	1	0	0	0
PTU-08607	0	0	0	0	1	0	0	0
PTU-08608	1	0	0	0	0	0	0	0
PTU-08609	1	0	0	0	0	0	0	0
PTU-08610	0	0	0	1	0	1	0	0
PTU-08611	0	0	0	0	1	0	0	0
PTU-08612	1	0	0	0	0	0	0	0
PTU-08613	0	0	0	0	0	0	0	1
PTU-08614	1	0	0	0	0	0	0	0
PTU-08615	0	0	0	0	1	0	0	0
PTU-08616	0	0	0	0	0	1	0	0
PTU-08617	0	0	0	0	1	0	0	0
PTU-08618	1	0	0	0	0	0	0	0
PTU-08619	1	0	0	0	0	0	0	0
PTU-08620	1	0	0	0	0	0	0	0
PTU-08621	1	0	0	0	0	0	0	0
PTU-08622	1	0	0	0	0	0	0	0
PTU-08623	0	0	0	0	0	1	0	0
PTU-08624	0	0	0	0	1	0	0	0
PTU-08625	1	0	0	0	0	0	0	0
PTU-08626	1	0	0	0	0	0	0	0
PTU-08627	0	0	0	1	0	0	0	0
PTU-08628	1	0	0	0	0	0	0	0
PTU-08629	0	0	0	0	1	0	0	0
PTU-08630	0	0	0	0	0	0	0	1
PTU-08631	1	0	0	0	0	0	0	0
PTU-08632	0	1	0	1	0	0	0	0
PTU-08633	0	0	0	0	0	1	0	0
PTU-08634	1	0	0	0	0	0	0	0
PTU-08635	0	0	0	0	0	0	0	1
PTU-08636	0	0	0	0	0	1	0	0
PTU-08637	0	0	0	1	0	0	0	0
PTU-08638	0	0	0	0	0	1	0	0
PTU-08639	0	0	0	0	0	1	0	1
PTU-08640	0	0	0	0	0	0	0	1
PTU-08641	0	0	0	0	1	0	0	0
PTU-08642	0	0	1	0	0	0	0	1
PTU-08643	1	0	0	0	0	0	0	0
PTU-08644	1	0	0	0	0	0	0	0
PTU-08645	0	0	0	0	0	0	0	1
PTU-08646	0	0	0	0	0	1	0	0
PTU-08647	1	0	0	0	0	0	0	0
PTU-08648	0	0	0	0	0	1	0	0
PTU-08649	1	0	0	0	0	0	0	0
PTU-08650	0	0	0	0	1	0	0	0
PTU-08651	0	0	0	0	1	0	0	0
PTU-08652	1	0	0	0	0	0	0	0
PTU-08653	0	0	0	0	1	0	0	0
PTU-08654	1	0	0	0	0	0	0	0
PTU-08655	0	0	0	0	0	0	0	1
PTU-08656	0	0	0	0	1	0	0	0
PTU-08657	0	0	0	1	0	0	0	0
PTU-08658	0	0	0	0	0	1	0	0
PTU-08659	1	0	0	0	0	0	0	0
PTU-08660	0	0	0	0	1	0	0	0
PTU-08661	1	0	0	0	0	0	0	0
PTU-08662	1	0	0	0	0	0	0	0
PTU-08663	1	0	0	0	0	0	0	0
PTU-08664	0	0	0	0	0	0	0	1
PTU-08665	1	0	0	0	0	0	0	0
PTU-08666	1	0	0	0	0	0	0	0
PTU-08667	0	0	0	0	1	0	0	0
PTU-08668	0	0	0	0	1	0	0	0
PTU-08669	0	0	0	0	0	0	0	1
PTU-08670	1	0	0	0	0	0	0	0
PTU-08671	0	1	0	0	1	0	0	0
PTU-08672	0	0	0	0	0	0	0	1
PTU-08673	0	0	0	1	0	0	0	0
PTU-08674	0	0	0	0	1	0	0	0
PTU-08675	0	1	0	0	0	0	0	0
PTU-08676	0	0	1	0	0	1	0	0
PTU-08677	0	0	0	0	0	0	0	1
PTU-08678	1	0	0	0	0	0	0	0
PTU-08679	0	0	0	0	1	0	0	0
PTU-08680	0	0	0	0	1	0	0	0
PTU-08681	0	0	0	0	1	0	0	0
PTU-08682	0	0	0	1	0	0	0	0
PTU-08683	1	0	0	0	0	0	0	0
PTU-08684	0	0	0	0	0	1	1	0
PTU-08685	0	0	0	0	1	1	0	0
PTU-08686	0	0	0	0	0	0	0	1
PTU-08687	0	1	0	0	0	0	0	0
PTU-08688	0	0	0	0	0	1	0	0
PTU-08689	0	0	0	0	1	0	0	0
PTU-08690	0	0	0	0	1	0	0	0
PTU-08691	1	0	0	0	0	0	0	0
PTU-08692	0	0	0	0	1	0	0	0
PTU-08693	0	0	0	0	1	0	0	0
PTU-08694	0	1	0	0	0	0	0	0
PTU-08695	1	0	0	0	0	0	0	0
PTU-08696	0	0	0	0	1	0	0	0
PTU-08697	0	1	0	0	0	0	0	0
PTU-08698	1	0	0	0	1	0	0	0
PTU-08699	0	0	0	0	0	0	0	1
PTU-08700	0	1	0	0	0	0	0	1
PTU-08701	0	1	0	0	0	0	0	0
PTU-08702	0	0	0	0	1	0	0	0
PTU-08703	0	0	0	0	1	0	0	0
PTU-08704	0	1	0	0	1	0	0	0
PTU-08705	1	0	0	0	0	0	0	0
PTU-08706	0	0	0	0	0	1	0	0
PTU-08707	0	0	0	0	0	0	0	1
PTU-08708	0	0	0	1	0	1	0	0
PTU-08709	1	0	0	0	0	0	0	0
PTU-08710	0	0	0	0	0	0	0	1
PTU-08711	0	0	0	0	0	0	0	1
PTU-08712	0	0	0	0	0	0	0	1
PTU-08713	0	0	0	1	0	0	0	0
PTU-08714	0	0	0	0	0	0	0	1
PTU-08715	0	0	0	0	0	0	0	1
PTU-08716	1	0	0	0	0	0	0	1
PTU-08717	0	0	0	0	0	0	0	1
PTU-08718	0	0	0	0	0	0	0	1
PTU-08719	1	1	0	0	0	0	0	0
PTU-08720	1	0	0	0	0	0	0	0
PTU-08721	0	0	1	0	0	1	0	0
PTU-08722	0	0	1	0	0	0	0	0
PTU-08723	0	0	1	0	0	1	0	0
PTU-08724	0	0	0	0	1	0	0	0
PTU-08725	0	0	0	0	1	0	0	0
PTU-08726	0	0	0	0	0	1	0	1
PTU-08727	0	0	0	0	1	0	0	1
PTU-08728	0	0	0	0	0	1	0	0
PTU-08729	0	0	1	0	0	0	0	0
PTU-08730	1	0	0	0	0	0	0	0
PTU-08731	0	0	0	0	1	0	0	0
PTU-08732	0	0	0	0	1	0	0	1
PTU-08733	0	0	0	0	0	1	0	0
PTU-08734	1	0	0	0	0	0	0	0
PTU-08735	1	0	0	0	0	0	0	0
PTU-08736	0	0	0	0	0	0	0	1
PTU-08737	1	0	0	0	0	0	0	0
PTU-08738	0	0	0	0	0	0	0	1
PTU-08739	0	0	0	0	1	0	0	0
PTU-08740	1	0	0	0	0	0	0	0
PTU-08741	0	0	0	0	0	1	0	0
PTU-08742	1	0	0	0	0	0	0	0
PTU-08743	0	0	0	0	1	0	0	0
PTU-08744	0	0	0	0	0	0	1	0
PTU-08745	0	0	0	0	0	0	0	1
PTU-08746	0	0	0	0	0	0	0	1
PTU-08747	0	0	0	0	0	0	0	1
PTU-08748	0	0	0	0	0	0	0	1
PTU-08749	0	0	0	0	0	0	0	1
PTU-08750	1	0	0	0	0	0	0	0
PTU-08751	0	0	0	0	0	0	0	1
PTU-08752	1	0	0	0	0	1	0	0
PTU-08753	0	0	0	0	0	1	0	1
PTU-08754	0	0	0	0	0	0	0	1
PTU-08755	0	0	1	0	1	0	0	0
PTU-08756	0	0	0	0	0	1	0	1
PTU-08757	0	0	0	0	0	0	0	1
PTU-08758	1	0	0	0	1	0	0	0
PTU-08759	0	0	0	0	0	0	0	1
PTU-08760	0	0	1	0	0	0	0	1
PTU-08761	1	0	0	0	1	0	0	0
PTU-08762	1	0	0	0	0	0	0	0
PTU-08763	0	0	0	0	0	0	0	1
PTU-08764	1	0	0	0	1	0	0	0
PTU-08765	0	0	0	0	0	0	0	1
PTU-08766	0	0	0	0	1	0	0	1
PTU-08767	1	0	0	0	0	0	0	0
PTU-08768	0	0	0	0	0	0	0	1
PTU-08769	1	0	0	0	0	0	0	0
PTU-08770	0	1	0	0	0	1	0	0
PTU-08771	0	0	0	0	0	0	0	1
PTU-08772	0	0	0	0	0	1	0	0
PTU-08773	0	0	0	0	0	0	0	1
PTU-08774	0	0	0	0	1	0	0	0
PTU-08775	0	0	0	0	0	0	0	1
PTU-08776	0	0	0	0	0	0	0	1
PTU-08777	0	0	0	0	1	0	0	0
PTU-08778	0	0	0	0	0	0	0	1
PTU-08779	1	0	0	0	0	0	0	0
PTU-08780	0	0	0	0	1	0	0	0
PTU-08781	1	0	0	0	0	0	0	0
PTU-08782	0	0	0	0	0	1	0	1
PTU-08783	1	0	0	0	0	0	0	0
PTU-08784	1	0	0	0	0	0	0	0
PTU-08785	0	0	0	1	0	0	0	0
PTU-08786	1	0	0	0	0	0	0	0
PTU-08787	1	0	0	0	0	0	0	0
PTU-08788	0	0	0	0	0	0	0	1
PTU-08789	0	0	0	0	0	0	0	1
PTU-08790	0	0	0	0	0	1	0	0
PTU-08791	1	0	0	0	0	0	0	0
PTU-08792	1	0	0	0	0	0	0	0
PTU-08793	0	0	0	0	0	0	0	1
PTU-08794	0	0	0	1	1	0	0	0
PTU-08795	0	0	0	0	0	1	0	1
PTU-08796	0	0	0	1	1	0	0	0
PTU-08797	0	0	0	0	0	0	0	1
PTU-08798	0	0	0	0	0	0	0	1
PTU-08799	0	0	0	0	0	0	0	1
PTU-08800	0	0	0	0	0	0	0	1
PTU-08801	0	0	0	0	0	1	0	0
PTU-08802	0	0	0	0	0	0	0	1
PTU-08803	0	0	0	0	1	0	0	0
PTU-08804	0	0	0	1	0	0	0	0
PTU-08805	0	0	0	0	0	0	0	1
PTU-08806	0	0	0	0	0	0	0	1
PTU-08807	1	0	0	0	0	0	0	0
PTU-08808	1	0	0	0	0	0	0	0
PTU-08809	0	0	0	0	1	0	0	0
PTU-08810	0	0	0	0	1	0	0	0
PTU-08811	0	0	0	0	0	1	0	1
PTU-08812	0	0	0	0	1	0	0	0
PTU-08813	0	0	0	0	1	0	0	0
PTU-08814	0	0	0	1	0	0	0	0
PTU-08815	0	0	0	0	1	0	0	0
PTU-08816	0	0	0	1	0	0	0	0
PTU-08817	0	0	0	0	0	0	0	1
PTU-08818	1	0	0	0	0	0	0	0
PTU-08819	0	0	0	0	1	0	0	0
PTU-08820	0	0	0	0	0	0	0	1
PTU-08821	0	0	0	0	0	1	0	1
PTU-08822	0	0	0	0	0	0	0	1
PTU-08823	0	0	0	0	0	0	0	1
PTU-08824	1	0	1	0	0	0	0	0
PTU-08825	0	0	0	0	1	0	0	0
PTU-08826	1	0	0	0	0	0	0	0
PTU-08827	0	0	0	0	0	0	0	1
PTU-08828	1	0	0	0	0	0	0	0
PTU-08829	0	0	0	0	0	0	0	1
PTU-08830	1	0	0	0	0	0	0	0
PTU-08831	0	0	0	0	0	0	0	1
PTU-08832	0	0	0	0	0	0	0	1
PTU-08833	1	0	0	0	0	0	0	1
PTU-08834	0	0	0	0	0	1	0	1
PTU-08835	1	0	0	0	0	0	0	1
PTU-08836	1	0	0	0	0	0	0	0
PTU-08837	0	0	0	0	0	0	0	1
PTU-08838	1	0	0	0	1	0	0	0
PTU-08839	0	0	0	0	0	1	0	0
PTU-08840	0	0	0	0	0	1	0	0
PTU-08841	0	0	0	0	0	1	0	0
PTU-08842	0	0	0	0	0	0	0	1
PTU-08843	0	0	0	0	1	1	0	0
PTU-08844	0	1	0	1	0	0	0	0
PTU-08845	1	0	0	0	0	0	0	0
PTU-08846	1	0	0	0	0	0	0	1
PTU-08847	1	0	0	0	0	0	0	0
PTU-08848	1	0	0	0	0	0	0	0
PTU-08849	0	0	0	0	1	0	0	0
PTU-08850	0	0	0	0	0	0	0	1
PTU-08851	0	0	0	0	0	1	0	0
PTU-08852	0	0	0	0	0	0	0	1
PTU-08853	0	0	0	0	1	0	0	0
PTU-08854	0	0	0	0	0	0	0	1
PTU-08855	0	0	0	0	0	1	0	0
PTU-08856	0	0	0	0	1	0	0	0
PTU-08857	0	0	0	1	0	0	0	0
PTU-08858	1	0	0	0	0	0	0	0
PTU-08859	0	0	0	0	1	0	0	0
PTU-08860	0	0	0	0	0	0	0	1
PTU-08861	0	0	0	1	0	1	0	0
PTU-08862	0	0	0	1	1	0	0	0
PTU-08863	0	0	0	0	0	1	0	0
PTU-08864	0	1	0	1	0	0	0	0
PTU-08865	0	0	0	0	0	1	0	1
PTU-08866	0	0	0	0	0	0	0	1
PTU-08867	0	0	0	1	0	1	0	0
PTU-08868	0	0	0	0	1	0	0	0
PTU-08869	0	0	0	0	1	0	0	0
PTU-08870	0	0	0	0	0	0	0	1
PTU-08871	0	1	0	0	0	0	0	0
PTU-08872	0	0	0	0	0	1	0	0
PTU-08873	1	1	0	0	0	0	0	0
PTU-08874	0	0	0	0	1	0	0	0
PTU-08875	0	0	0	0	1	0	0	0
PTU-08876	0	0	0	1	0	0	0	0
PTU-08877	0	0	0	0	0	1	0	0
PTU-08878	0	0	0	0	0	1	0	0
PTU-08879	1	1	0	0	0	0	0	0
PTU-08880	0	0	0	1	0	1	0	0
PTU-08881	0	0	0	0	0	1	0	0
PTU-08882	0	0	1	0	0	0	0	0
PTU-08883	0	0	0	0	0	0	0	1
PTU-08884	0	0	0	0	1	0	0	0
PTU-08885	0	0	0	0	0	0	0	1
PTU-08886	0	0	0	0	1	0	0	0
PTU-08887	0	0	0	0	0	1	0	0
PTU-08888	1	1	0	0	0	0	0	0
PTU-08889	0	0	1	0	0	1	0	0
PTU-08890	0	0	0	0	0	1	0	1
PTU-08891	0	0	0	0	1	0	0	0
PTU-08892	0	1	0	0	0	0	0	0
PTU-08893	0	0	0	0	1	0	0	0
PTU-08894	0	0	0	0	0	1	0	1
PTU-08895	0	0	0	1	0	0	0	0
PTU-08896	0	0	0	0	1	0	0	0
PTU-08897	0	0	0	0	1	0	0	0
PTU-08898	0	0	0	0	0	1	0	0
PTU-08899	0	1	0	0	1	0	0	0
PTU-08900	0	0	0	0	1	0	0	0
PTU-08901	1	0	0	0	0	0	0	0
PTU-08902	0	0	0	0	0	1	0	0
PTU-08903	0	0	0	0	0	1	0	0
PTU-08904	0	0	0	0	0	1	0	0
PTU-08905	0	0	0	0	1	0	0	0
PTU-08906	0	1	0	0	0	0	0	0
PTU-08907	0	0	0	0	1	1	0	0
PTU-08908	0	0	0	0	1	0	0	1
PTU-08909	0	0	0	0	1	0	0	0
PTU-08910	0	0	0	0	0	1	0	0
PTU-08911	0	0	0	0	0	0	0	1
PTU-08912	0	0	0	0	1	0	0	0
PTU-08913	0	0	0	1	0	0	0	0
PTU-08914	0	0	0	0	1	0	0	0
PTU-08915	0	1	0	0	0	0	0	0
PTU-08916	0	0	0	0	1	0	0	0
PTU-08917	0	0	0	0	1	0	0	0
PTU-08918	0	0	0	0	1	0	0	0
PTU-08919	0	0	0	0	0	1	0	0
PTU-08920	1	0	0	0	0	0	0	0
PTU-08921	0	0	0	0	1	0	0	0
PTU-08922	0	0	0	0	0	1	0	0
PTU-08923	0	0	0	0	0	1	0	0
PTU-08924	0	1	0	0	0	0	0	1
PTU-08925	0	0	0	0	1	0	0	0
PTU-08926	0	0	0	0	1	0	0	0
PTU-08927	1	0	0	0	0	0	0	0
PTU-08928	1	0	0	0	0	0	0	0
PTU-08929	0	0	0	0	1	0	0	0
PTU-08930	0	0	0	0	0	0	0	1
PTU-08931	0	0	0	0	1	0	0	0
PTU-08932	0	1	0	0	0	0	0	0
PTU-08933	0	0	0	0	0	0	0	1
PTU-08934	0	0	0	0	0	1	0	0
PTU-08935	0	0	0	0	1	0	0	0
PTU-08936	0	0	0	0	0	1	0	0
PTU-08937	0	0	0	0	1	0	0	0
PTU-08938	0	0	0	0	1	0	0	0
PTU-08939	1	1	0	0	0	0	0	0
PTU-08940	0	0	0	0	1	0	0	1
PTU-08941	0	0	0	0	0	0	0	1
PTU-08942	1	0	0	0	0	0	0	0
PTU-08943	0	0	0	0	1	0	0	0
PTU-08944	1	1	0	0	0	0	0	0
PTU-08945	0	0	0	0	0	1	0	0
PTU-08946	0	0	1	1	0	0	0	0
PTU-08947	1	1	0	0	0	0	0	0
PTU-08948	1	0	0	0	0	0	0	0
PTU-08949	0	0	0	0	1	0	0	0
PTU-08950	0	0	0	0	0	0	0	1
PTU-08951	0	0	0	0	1	1	0	0
PTU-08952	0	0	0	0	1	1	0	0
PTU-08953	0	0	0	0	0	0	0	1
PTU-08954	1	0	0	0	1	0	0	0
PTU-08955	0	0	0	1	1	0	0	0
PTU-08956	0	0	0	0	1	0	0	1
PTU-08957	0	1	0	0	0	0	0	0
PTU-08958	0	0	0	0	1	1	0	0
PTU-08959	0	0	1	0	1	0	0	0
PTU-08960	0	0	0	0	0	1	0	0
PTU-08961	0	0	0	0	0	0	0	1
PTU-08962	0	0	0	1	0	0	0	0
PTU-08963	0	0	0	0	1	0	0	0
PTU-08964	1	0	0	0	1	0	0	0
PTU-08965	0	0	0	0	0	0	0	1
PTU-08966	0	0	0	0	1	0	0	0
PTU-08967	0	0	0	0	1	0	0	0
PTU-08968	0	0	0	0	0	1	0	0
PTU-08969	0	0	0	0	1	0	0	0
PTU-08970	1	0	0	0	0	0	0	0
PTU-08971	0	0	0	0	1	0	0	0
PTU-08972	0	0	0	0	0	1	1	0
PTU-08973	0	0	0	0	1	0	0	0
PTU-08974	0	0	0	0	1	0	0	1
PTU-08975	0	0	0	0	1	0	0	0
PTU-08976	0	0	0	0	0	1	0	1
PTU-08977	0	0	0	0	1	0	0	0
PTU-08978	0	0	0	0	1	0	0	0
PTU-08979	0	0	0	0	0	1	0	0
PTU-08980	0	0	0	0	1	1	0	0
PTU-08981	0	0	0	0	1	0	0	0
PTU-08982	0	1	0	0	0	0	0	1
PTU-08983	0	0	1	0	0	1	0	0
PTU-08984	1	0	0	0	0	0	0	0
PTU-08985	0	0	0	1	0	0	0	0
PTU-08986	0	0	0	0	1	0	0	0
PTU-08987	1	0	0	0	0	0	0	1
PTU-08988	0	0	0	0	1	1	0	0
PTU-08989	0	0	0	0	0	1	0	0
PTU-08990	0	0	0	1	0	0	0	0
PTU-08991	0	0	0	0	1	0	0	0
PTU-08992	0	0	0	0	0	1	0	0
PTU-08993	0	0	0	0	1	0	0	0
PTU-08994	1	0	0	0	1	0	0	0
PTU-08995	0	0	0	0	0	0	0	1
PTU-08996	0	0	0	0	1	0	0	0
PTU-08997	1	0	0	0	0	0	0	0
PTU-08998	1	0	0	0	0	0	0	0
PTU-08999	0	1	1	0	0	0	0	0
PTU-09000	0	0	0	0	0	0	0	1
PTU-09001	0	0	0	0	0	0	0	1
PTU-09002	0	1	0	0	0	0	0	0
PTU-09003	0	0	0	0	1	0	0	0
PTU-09004	0	0	0	0	1	0	0	0
PTU-09005	0	0	0	0	0	0	0	1
PTU-09006	1	0	0	0	0	0	0	0
PTU-09007	0	0	0	0	1	0	0	1
PTU-09008	1	0	0	0	0	0	0	0
PTU-09009	1	1	0	0	0	0	0	0
PTU-09010	1	0	0	0	1	0	0	0
PTU-09011	0	1	0	0	0	0	0	0
PTU-09012	0	0	0	0	1	0	0	0
PTU-09013	0	0	0	0	0	1	0	0
PTU-09014	1	0	0	0	0	0	0	0
PTU-09015	0	1	0	0	0	0	0	0
PTU-09016	0	0	0	0	1	0	0	0
PTU-09017	0	0	0	0	0	0	0	1
PTU-09018	0	0	0	0	1	0	0	1
PTU-09019	0	0	0	0	0	0	0	1
PTU-09020	0	1	0	0	0	1	0	0
PTU-09021	0	0	1	0	0	1	0	0
PTU-09022	1	0	0	0	0	0	0	0
PTU-09023	0	0	1	0	0	1	0	0
PTU-09024	0	0	0	0	1	0	0	0
PTU-09025	0	0	1	0	1	0	0	0
PTU-09026	0	0	0	0	1	1	0	0
PTU-09027	0	0	0	0	1	0	0	0
PTU-09028	0	0	0	0	0	0	0	1
PTU-09029	0	0	0	0	1	0	0	0
PTU-09030	0	0	0	0	1	0	0	0
PTU-09031	1	0	0	0	0	0	0	1
PTU-09032	0	0	0	0	0	1	0	0
PTU-09033	0	1	0	0	1	0	0	0
PTU-09034	0	0	0	0	1	0	1	0
PTU-09035	0	0	1	0	0	0	0	1
PTU-09036	1	0	0	0	0	0	0	1
PTU-09037	0	0	0	0	1	0	0	0
PTU-09038	0	0	0	0	1	0	0	0
PTU-09039	1	0	0	0	0	0	0	0
PTU-09040	0	0	0	0	1	0	0	0
PTU-09041	0	0	0	0	1	0	0	0
PTU-09042	0	0	0	0	1	0	0	0
PTU-09043	0	0	0	0	1	0	0	0
PTU-09044	0	1	0	0	0	0	0	0
PTU-09045	0	0	0	0	1	0	0	0
PTU-09046	0	0	0	0	1	0	0	0
PTU-09047	1	0	0	0	0	0	0	0
PTU-09048	1	0	0	0	0	0	0	1
PTU-09049	0	1	1	0	0	0	0	0
PTU-09050	1	0	0	0	0	0	0	0
PTU-09051	1	0	0	0	0	0	0	1
PTU-09052	0	0	0	0	0	1	1	0
PTU-09053	1	0	0	0	0	0	0	0
PTU-09054	1	0	0	0	0	0	0	0
PTU-09055	0	0	0	0	0	1	0	0
PTU-09056	0	0	0	0	0	0	0	1
PTU-09057	0	0	0	0	1	0	0	0
PTU-09058	0	0	0	0	1	0	0	0
PTU-09059	0	0	0	0	1	0	0	0
PTU-09060	1	0	0	0	0	0	0	0
PTU-09061	0	0	0	0	1	0	0	1
PTU-09062	1	0	0	0	0	0	0	0
PTU-09063	0	0	0	0	1	0	0	0
PTU-09064	0	0	0	0	0	0	0	1
PTU-09065	0	0	0	0	1	0	0	0
PTU-09066	0	0	0	0	1	0	0	0
PTU-09067	0	0	1	0	0	1	0	0
PTU-09068	1	0	0	0	0	0	0	0
PTU-09069	0	1	0	0	0	0	0	0
PTU-09070	0	0	0	0	1	0	0	0
PTU-09071	0	1	0	0	0	0	0	1
PTU-09072	0	0	0	0	1	0	0	0
PTU-09073	0	0	0	0	1	0	0	0
PTU-09074	1	1	0	0	0	0	0	0
PTU-09075	0	1	0	1	0	0	0	0
PTU-09076	0	0	0	0	1	0	0	0
PTU-09077	0	0	0	0	1	0	0	0
PTU-09078	0	1	0	0	1	0	0	0
PTU-09079	0	1	0	0	1	0	0	0
PTU-09080	0	0	0	0	0	1	0	0
PTU-09081	0	0	0	0	1	0	0	0
PTU-09082	0	0	0	0	1	0	0	0
PTU-09083	0	0	0	0	1	0	0	0
PTU-09084	0	0	0	0	0	0	0	1
PTU-09085	0	0	1	0	0	1	0	0
PTU-09086	0	0	0	0	1	0	0	0
PTU-09087	0	0	0	0	0	1	0	0
PTU-09088	0	0	0	0	1	0	0	1
PTU-09089	0	0	0	0	0	1	0	0
PTU-09090	1	0	0	0	0	0	0	0
PTU-09091	0	0	0	0	0	0	0	1
PTU-09092	0	0	0	1	1	0	0	0
PTU-09093	0	0	0	0	1	0	0	0
PTU-09094	1	1	0	0	0	0	0	0
PTU-09095	0	0	0	0	0	0	0	1
PTU-09096	1	0	0	0	1	0	0	0
PTU-09097	0	0	0	0	1	0	0	0
PTU-09098	0	0	0	0	1	0	0	1
PTU-09099	0	0	0	0	1	0	0	0
PTU-09100	0	0	0	0	1	0	0	0
PTU-09101	1	0	0	0	0	0	0	0
PTU-09102	0	0	0	0	0	1	0	0
PTU-09103	0	0	0	0	1	0	0	0
PTU-09104	0	0	0	0	1	0	0	0
PTU-09105	0	1	0	0	1	0	0	0
PTU-09106	0	0	0	0	0	0	0	1
PTU-09107	0	0	0	0	1	0	0	0
PTU-09108	0	0	0	0	1	0	0	0
PTU-09109	0	0	0	1	0	0	0	0
PTU-09110	0	0	0	0	1	0	0	0
PTU-09111	0	0	1	0	0	0	0	1
PTU-09112	0	0	0	0	1	0	0	0
PTU-09113	0	0	0	0	1	0	0	0
PTU-09114	0	0	0	0	1	0	0	0
PTU-09115	0	0	0	1	1	0	0	0
PTU-09116	0	0	0	0	1	0	0	0
PTU-09117	0	0	0	1	0	0	0	0
PTU-09118	1	0	0	0	0	0	0	0
PTU-09119	0	0	0	0	0	0	0	1
PTU-09120	0	0	0	1	0	0	0	0
PTU-09121	1	0	0	0	0	0	0	1
PTU-09122	0	0	0	0	1	0	0	0
PTU-09123	0	0	0	0	1	0	0	0
PTU-09124	0	1	0	0	1	0	0	0
PTU-09125	1	0	0	0	0	0	0	0
PTU-09126	0	0	0	0	0	0	0	1
PTU-09127	0	0	0	0	1	0	0	0
PTU-09128	0	0	0	0	1	0	0	0
PTU-09129	0	0	0	0	1	0	0	0
PTU-09130	0	0	1	1	0	0	0	0
PTU-09131	1	0	0	0	1	0	0	0
PTU-09132	0	0	0	0	0	0	0	1
PTU-09133	0	0	0	0	1	0	0	0
PTU-09134	0	0	0	0	1	0	0	0
PTU-09135	0	0	0	0	1	0	0	0
PTU-09136	0	0	0	0	0	0	0	1
PTU-09137	0	0	0	0	1	0	0	0
PTU-09138	0	0	1	0	1	0	0	0
PTU-09139	0	0	0	0	1	0	0	0
PTU-09140	0	0	0	0	1	0	0	0
PTU-09141	0	1	0	0	0	0	0	0
PTU-09142	0	0	0	0	0	0	0	1
PTU-09143	0	0	0	0	0	1	0	0
PTU-09144	1	0	0	0	0	0	0	1
PTU-09145	0	0	1	1	0	0	0	0
PTU-09146	0	0	0	1	0	0	0	0
PTU-09147	1	0	0	0	0	0	0	0
PTU-09148	1	0	0	0	0	0	0	0
PTU-09149	0	0	0	0	0	0	0	1
PTU-09150	0	0	0	0	1	0	0	0
PTU-09151	0	0	0	0	1	0	0	0
PTU-09152	0	1	0	0	0	0	0	1
PTU-09153	1	0	0	0	0	0	0	0
PTU-09154	1	0	0	0	0	0	0	0
PTU-09155	0	0	1	1	0	0	0	0
PTU-09156	0	0	0	0	0	1	1	0
PTU-09157	0	0	0	0	1	0	0	0
PTU-09158	0	0	0	0	0	0	0	1
PTU-09159	0	0	0	0	1	0	0	0
PTU-09160	0	0	0	0	1	0	0	0
PTU-09161	0	0	0	0	1	0	0	0
PTU-09162	0	0	0	0	1	0	0	1
PTU-09163	0	0	0	0	1	0	0	0
PTU-09164	0	0	1	1	0	0	0	0
PTU-09165	0	0	0	0	0	1	0	0
PTU-09166	0	0	0	0	0	1	0	0
PTU-09167	0	0	0	0	0	1	0	0
PTU-09168	0	0	0	0	0	0	0	1
PTU-09169	0	0	0	0	0	1	0	0
PTU-09170	0	0	0	0	1	0	0	0
PTU-09171	1	0	0	0	0	0	0	1
PTU-09172	0	0	0	1	0	0	0	0
PTU-09173	0	0	0	0	1	0	0	1
PTU-09174	0	0	0	0	0	0	0	1
PTU-09175	0	0	0	0	1	0	0	0
PTU-09176	1	0	0	0	0	0	0	0
PTU-09177	1	0	0	0	0	0	0	0
PTU-09178	0	0	0	0	1	0	0	0
PTU-09179	0	0	0	0	0	0	0	1
PTU-09180	0	0	0	1	0	0	0	0
PTU-09181	0	0	0	0	0	1	0	0
PTU-09182	0	0	0	0	0	0	0	1
PTU-09183	0	0	0	0	0	0	0	1
PTU-09184	0	0	0	1	0	0	0	0
PTU-09185	0	0	0	0	0	0	0	1
PTU-09186	0	0	0	0	1	0	0	0
PTU-09187	0	1	0	0	1	0	0	0
PTU-09188	0	0	0	0	1	0	0	0
PTU-09189	0	0	0	0	1	0	0	0
