"","Temperate.forest","Tropical.forest","Grasslands","Peat","Rhizosphere","Agricultural.land","Other","Unclassified"
"Temperate.forest",0,0.969621677370962,0.959290774824755,0.960092742218787,0.964243714839653,0.951917999689393,0.932069285052392,0.949246543841138
"Tropical.forest",0.969621677370962,0,0.969189961232402,0.996669764560099,0.990923106990076,0.979634464751958,0.967450594652598,0.989545997610514
"Grasslands",0.959290774824755,0.969189961232402,0,0.975489252486365,0.956028561978326,0.943191715861802,0.945913243390405,0.965636549500668
"Peat",0.960092742218787,0.996669764560099,0.975489252486365,0,0.994333941470505,0.99051460968164,0.973887130963718,0.986491702045542
"Rhizosphere",0.964243714839653,0.990923106990076,0.956028561978326,0.994333941470505,0,0.91590968988843,0.957254916821403,0.93703289399024
"Agricultural.land",0.951917999689393,0.979634464751958,0.943191715861802,0.99051460968164,0.91590968988843,0,0.952193042137252,0.956707159472732
"Other",0.932069285052392,0.967450594652598,0.945913243390405,0.973887130963718,0.957254916821403,0.952193042137252,0,0.952489278388961
"Unclassified",0.949246543841138,0.989545997610514,0.965636549500668,0.986491702045542,0.93703289399024,0.956707159472732,0.952489278388961,0
